system_time_start,LST_L5,LST_L7,LST_L8
"Apr 13, 1984",271.494,,
"Apr 29, 1984",272.508,,
"Aug 19, 1984",272.575,,
"Sep 4, 1984",,,
"Sep 20, 1984",284.917,,
"Sep 29, 1984",286.43,,
"Oct 22, 1984",274.688,,
"Nov 7, 1984",284.259,,
"Dec 9, 1984",,,
"Feb 11, 1985",254.469,,
"Mar 15, 1985",,,
"Mar 31, 1985",,,
"Apr 16, 1985",,,
"Jun 3, 1985",,,
"Jun 12, 1985",,,
"Jun 19, 1985",,,
"Jul 5, 1985",294.1,,
"Aug 22, 1985",288.712,,
"Sep 7, 1985",,,
"Sep 23, 1985",,,
"Oct 9, 1985",,,
"Oct 18, 1985",280.129,,
"Oct 25, 1985",280.524,,
"Nov 26, 1985",,,
"Jan 29, 1986",,,
"Feb 7, 1986",,,
"Feb 14, 1986",262.951,,
"Mar 2, 1986",,,
"Mar 18, 1986",274.676,,
"Apr 3, 1986",,,
"Apr 19, 1986",,,
"Apr 28, 1986",,,
"May 5, 1986",284.025,,
"May 14, 1986",,,
"May 21, 1986",297.077,,
"Jun 15, 1986",297.234,,
"Jun 22, 1986",,,
"Jul 1, 1986",,,
"Jul 17, 1986",297.014,,
"Aug 2, 1986",293.194,,
"Aug 9, 1986",294.654,,
"Aug 18, 1986",292.535,,
"Aug 25, 1986",,,
"Sep 3, 1986",287.747,,
"Sep 19, 1986",280.908,,
"Sep 26, 1986",280.919,,
"Oct 12, 1986",,,
"Oct 21, 1986",,,
"Oct 28, 1986",274.751,,
"Nov 13, 1986",278.386,,
"Nov 29, 1986",273.352,,
"Dec 15, 1986",,,
"Jan 16, 1987",262.437,,
"Feb 1, 1987",261.538,,
"Mar 5, 1987",256.994,,
"Mar 21, 1987",267.501,,
"Apr 6, 1987",,,
"May 8, 1987",,,
"May 24, 1987",,,
"Jul 11, 1987",294.932,,
"Jul 27, 1987",,,
"Aug 12, 1987",,,
"Sep 13, 1987",291.446,,
"Sep 29, 1987",,,
"Oct 15, 1987",,,
"Oct 31, 1987",278.726,,
"Dec 2, 1987",,,
"Jan 3, 1988",,,
"Jan 19, 1988",268.505,,
"Feb 20, 1988",,,
"Apr 24, 1988",272.609,,
"May 10, 1988",,,
"May 19, 1988",,,
"May 26, 1988",292.488,,
"Jun 27, 1988",,,
"Jul 13, 1988",292.643,,
"Jul 22, 1988",,,
"Jul 29, 1988",294.18,,
"Aug 7, 1988",,,
"Aug 14, 1988",298.156,,
"Aug 30, 1988",,,
"Sep 8, 1988",286.417,,
"Sep 15, 1988",,,
"Oct 17, 1988",288.237,,
"Nov 11, 1988",276.349,,
"Dec 20, 1988",,,
"Jan 14, 1989",263.936,,
"Jan 21, 1989",270.145,,
"Jan 30, 1989",265.503,,
"Mar 10, 1989",,,
"Apr 4, 1989",,,
"Apr 11, 1989",279.08,,
"Apr 20, 1989",,,
"May 29, 1989",,,
"Jun 7, 1989",,,
"Jun 14, 1989",284.605,,
"Jul 16, 1989",289.085,,
"Aug 10, 1989",290.723,,
"Aug 17, 1989",,,
"Sep 2, 1989",,,
"Sep 11, 1989",287.585,,
"Sep 18, 1989",292.532,,
"Oct 4, 1989",278.411,,
"Oct 13, 1989",,,
"Oct 20, 1989",282.887,,
"Nov 5, 1989",,,
"Nov 14, 1989",273.976,,
"Jan 24, 1990",,,
"Feb 2, 1990",273.816,,
"Feb 9, 1990",,,
"Feb 25, 1990",275.298,,
"Mar 6, 1990",263.292,,
"Mar 13, 1990",275.471,,
"Mar 22, 1990",276.697,,
"Apr 14, 1990",278.483,,
"Apr 30, 1990",,,
"May 9, 1990",,,
"May 16, 1990",291.838,,
"Jun 1, 1990",,,
"Jun 17, 1990",,,
"Jul 3, 1990",,,
"Aug 4, 1990",298.131,,
"Aug 13, 1990",289.057,,
"Aug 20, 1990",,,
"Aug 29, 1990",296.254,,
"Sep 5, 1990",,,
"Sep 14, 1990",,,
"Sep 21, 1990",,,
"Sep 30, 1990",286.069,,
"Oct 7, 1990",285.724,,
"Oct 16, 1990",290.702,,
"Oct 23, 1990",282.015,,
"Nov 24, 1990",268.154,,
"Mar 16, 1991",276.799,,
"Apr 1, 1991",,,
"May 19, 1991",285.95,,
"Jun 20, 1991",288.203,,
"Jul 6, 1991",296.069,,
"Jul 15, 1991",,,
"Jul 22, 1991",,,
"Jul 31, 1991",,,
"Aug 7, 1991",298.379,,
"Aug 23, 1991",289.264,,
"Sep 1, 1991",291.689,,
"Sep 24, 1991",,,
"Oct 3, 1991",283.111,,
"Oct 10, 1991",284.13,,
"Oct 26, 1991",269.148,,
"Nov 11, 1991",,,
"Jan 23, 1992",,,
"Feb 8, 1992",,,
"Feb 15, 1992",,,
"Mar 2, 1992",272.35,,
"Mar 11, 1992",,,
"Mar 18, 1992",,,
"Apr 3, 1992",,,
"Apr 12, 1992",275.284,,
"Apr 28, 1992",,,
"May 5, 1992",277.528,,
"May 14, 1992",292.165,,
"May 21, 1992",,,
"May 30, 1992",,,
"Jun 15, 1992",,,
