system_time_start,LST_L5,LST_L7,LST_L8,LST_L9,year,month,day
1984-04-13,-1.655999999999949,,,,1984,4,13
1984-04-29,-0.6419999999999959,,,,1984,4,29
1984-08-19,-0.5749999999999886,,,,1984,8,19
1984-09-04,,,,,1984,9,4
1984-09-20,11.766999999999996,,,,1984,9,20
1984-09-29,13.28000000000003,,,,1984,9,29
1984-10-22,1.538000000000011,,,,1984,10,22
1984-11-07,11.109000000000037,,,,1984,11,7
1984-12-09,,,,,1984,12,9
1985-02-11,-18.680999999999983,,,,1985,2,11
1985-03-15,,,,,1985,3,15
1985-03-31,,,,,1985,3,31
1985-04-16,,,,,1985,4,16
1985-06-03,,,,,1985,6,3
1985-06-12,,,,,1985,6,12
1985-06-19,,,,,1985,6,19
1985-07-05,20.950000000000045,,,,1985,7,5
1985-08-22,15.562000000000012,,,,1985,8,22
1985-09-07,,,,,1985,9,7
1985-09-23,,,,,1985,9,23
1985-10-09,,,,,1985,10,9
1985-10-18,6.979000000000042,,,,1985,10,18
1985-10-25,7.374000000000024,,,,1985,10,25
1985-11-26,,,,,1985,11,26
1986-01-29,,,,,1986,1,29
1986-02-07,,,,,1986,2,7
1986-02-14,-10.198999999999955,,,,1986,2,14
1986-03-02,,,,,1986,3,2
1986-03-18,1.5260000000000105,,,,1986,3,18
1986-04-03,,,,,1986,4,3
1986-04-19,,,,,1986,4,19
1986-04-28,,,,,1986,4,28
1986-05-05,10.875,,,,1986,5,5
1986-05-14,,,,,1986,5,14
1986-05-21,23.92700000000002,,,,1986,5,21
1986-06-15,24.084000000000003,,,,1986,6,15
1986-06-22,,,,,1986,6,22
1986-07-01,,,,,1986,7,1
1986-07-17,23.864000000000033,,,,1986,7,17
1986-08-02,20.04400000000004,,,,1986,8,2
1986-08-09,21.50400000000002,,,,1986,8,9
1986-08-18,19.385000000000048,,,,1986,8,18
1986-08-25,,,,,1986,8,25
1986-09-03,14.597000000000037,,,,1986,9,3
1986-09-19,7.758000000000038,,,,1986,9,19
1986-09-26,7.7690000000000055,,,,1986,9,26
