system_time_start,LST_L9
"Nov 3, 2021",
"Nov 8, 2021",
"Dec 23, 2021",
"Jan 24, 2022",
"Feb 9, 2022",
"Feb 18, 2022",
"Feb 25, 2022",
"Mar 22, 2022",276.486
"Mar 29, 2022",
"Apr 7, 2022",
"Apr 14, 2022",279.923
"Apr 23, 2022",
"Apr 30, 2022",
"May 9, 2022",
"May 16, 2022",
"Jun 1, 2022",288.432
"Jun 17, 2022",
"Jun 26, 2022",
"Jul 3, 2022",297.504
"Jul 19, 2022",301.307
"Aug 4, 2022",302.547
"Aug 13, 2022",
"Sep 5, 2022",
"Sep 21, 2022",
"Oct 7, 2022",288.647
"Oct 23, 2022",
"Nov 8, 2022",278.013
"Nov 24, 2022",
"Dec 26, 2022",
"Jan 4, 2023",
"Jan 11, 2023",
"Feb 5, 2023",
"Feb 21, 2023",
"Mar 9, 2023",
"Mar 16, 2023",271.974
"Mar 25, 2023",
"Apr 1, 2023",
"Apr 10, 2023",
"Apr 26, 2023",
"May 3, 2023",
"May 19, 2023",281.143
"May 28, 2023",295.929
"Jun 4, 2023",295.097
"Jun 13, 2023",294.049
"Jun 20, 2023",
"Jul 6, 2023",
"Jul 22, 2023",
"Aug 23, 2023",297.596
"Sep 8, 2023",297.816
"Sep 24, 2023",
"Oct 10, 2023",
"Oct 19, 2023",
"Oct 26, 2023",
"Nov 27, 2023",
"Dec 13, 2023",
"Dec 29, 2023",
"Jan 30, 2024",274.831
"Feb 15, 2024",
"Mar 2, 2024",
"Mar 11, 2024",276.922
"Mar 18, 2024",
"Mar 27, 2024",
"Apr 3, 2024",
"Apr 12, 2024",
"Apr 19, 2024",
"Apr 28, 2024",
"May 5, 2024",
"May 14, 2024",
"May 21, 2024",
"May 30, 2024",
"Jun 6, 2024",288.215
"Jun 15, 2024",
"Jun 22, 2024",289.495
"Jul 8, 2024",
"Jul 24, 2024",290.192
"Aug 9, 2024",290.715
"Sep 10, 2024",
"Sep 26, 2024",
"Oct 12, 2024",
"Oct 21, 2024",285.096
"Oct 28, 2024",285.486
"Nov 22, 2024",
"Nov 29, 2024",
"Dec 24, 2024",
"Dec 31, 2024",271.26
"Jan 16, 2025",
"Jan 25, 2025",
"Feb 1, 2025",267.32
"Feb 10, 2025",
"Feb 17, 2025",
"Feb 26, 2025",
"Mar 5, 2025",278.097
"Mar 21, 2025",280.106
"Mar 30, 2025",
"Apr 6, 2025",273.999
"Apr 15, 2025",
"Apr 22, 2025",289.063
"May 1, 2025",
"May 8, 2025",
"May 17, 2025",
"May 24, 2025",
"Jun 9, 2025",287.312
"Jun 25, 2025",297.511
"Jul 11, 2025",
"Jul 27, 2025",
"Aug 12, 2025",297.728
"Aug 28, 2025",296.853
"Sep 13, 2025",
"Sep 29, 2025",
"Oct 31, 2025",
"Nov 16, 2025",
"Dec 2, 2025",
"Dec 18, 2025",277.125
"Dec 27, 2025",273.406
