system_time_start,LST_L5,LST_L7,LST_L8,LST_L9
1984-04-13,271.494,,,
1984-04-29,272.508,,,
1984-08-19,272.575,,,
1984-09-04,,,,
1984-09-20,284.917,,,
1984-09-29,286.43,,,
1984-10-22,274.688,,,
1984-11-07,284.259,,,
1984-12-09,,,,
1985-02-11,254.469,,,
1985-03-15,,,,
1985-03-31,,,,
1985-04-16,,,,
1985-06-03,,,,
1985-06-12,,,,
1985-06-19,,,,
1985-07-05,294.1,,,
1985-08-22,288.712,,,
1985-09-07,,,,
1985-09-23,,,,
1985-10-09,,,,
1985-10-18,280.129,,,
1985-10-25,280.524,,,
1985-11-26,,,,
1986-01-29,,,,
1986-02-07,,,,
1986-02-14,262.951,,,
1986-03-02,,,,
1986-03-18,274.676,,,
1986-04-03,,,,
1986-04-19,,,,
1986-04-28,,,,
1986-05-05,284.025,,,
1986-05-14,,,,
1986-05-21,297.077,,,
1986-06-15,297.234,,,
1986-06-22,,,,
1986-07-01,,,,
1986-07-17,297.014,,,
1986-08-02,293.194,,,
1986-08-09,294.654,,,
1986-08-18,292.535,,,
1986-08-25,,,,
1986-09-03,287.747,,,
1986-09-19,280.908,,,
1986-09-26,280.919,,,
1986-10-12,,,,
1986-10-21,,,,
1986-10-28,274.751,,,
1986-11-13,278.386,,,
1986-11-29,273.352,,,
1986-12-15,,,,
1987-01-16,262.437,,,
1987-02-01,261.538,,,
1987-03-05,256.994,,,
1987-03-21,267.501,,,
1987-04-06,,,,
1987-05-08,,,,
1987-05-24,,,,
1987-07-11,294.932,,,
1987-07-27,,,,
1987-08-12,,,,
1987-09-13,291.446,,,
1987-09-29,,,,
1987-10-15,,,,
1987-10-31,278.726,,,
1987-12-02,,,,
1988-01-03,,,,
1988-01-19,268.505,,,
1988-02-20,,,,
1988-04-24,272.609,,,
1988-05-10,,,,
1988-05-19,,,,
1988-05-26,292.488,,,
1988-06-27,,,,
1988-07-13,292.643,,,
1988-07-22,,,,
1988-07-29,294.18,,,
1988-08-07,,,,
1988-08-14,298.156,,,
1988-08-30,,,,
1988-09-08,286.417,,,
1988-09-15,,,,
1988-10-17,288.237,,,
1988-11-11,276.349,,,
1988-12-20,,,,
1989-01-14,263.936,,,
1989-01-21,270.145,,,
1989-01-30,265.503,,,
1989-03-10,,,,
1989-04-04,,,,
1989-04-11,279.08,,,
1989-04-20,,,,
1989-05-29,,,,
1989-06-07,,,,
1989-06-14,284.605,,,
1989-07-16,289.085,,,
1989-08-10,290.723,,,
1989-08-17,,,,
1989-09-02,,,,
1989-09-11,287.585,,,
1989-09-18,292.532,,,
1989-10-04,278.411,,,
1989-10-13,,,,
1989-10-20,282.887,,,
1989-11-05,,,,
1989-11-14,273.976,,,
1990-01-24,,,,
1990-02-02,273.816,,,
1990-02-09,,,,
1990-02-25,275.298,,,
1990-03-06,263.292,,,
1990-03-13,275.471,,,
1990-03-22,276.697,,,
1990-04-14,278.483,,,
1990-04-30,,,,
1990-05-09,,,,
1990-05-16,291.838,,,
1990-06-01,,,,
1990-06-17,,,,
1990-07-03,,,,
1990-08-04,298.131,,,
1990-08-13,289.057,,,
1990-08-20,,,,
1990-08-29,296.254,,,
1990-09-05,,,,
1990-09-14,,,,
1990-09-21,,,,
1990-09-30,286.069,,,
1990-10-07,285.724,,,
1990-10-16,290.702,,,
1990-10-23,282.015,,,
1990-11-24,268.154,,,
1991-03-16,276.799,,,
1991-04-01,,,,
1991-05-19,285.95,,,
1991-06-20,288.203,,,
1991-07-06,296.069,,,
1991-07-15,,,,
1991-07-22,,,,
1991-07-31,,,,
1991-08-07,298.379,,,
1991-08-23,289.264,,,
1991-09-01,291.689,,,
1991-09-24,,,,
1991-10-03,283.111,,,
1991-10-10,284.13,,,
1991-10-26,269.148,,,
1991-11-11,,,,
1992-01-23,,,,
1992-02-08,,,,
1992-02-15,,,,
1992-03-02,272.35,,,
1992-03-11,,,,
1992-03-18,,,,
1992-04-03,,,,
1992-04-12,275.284,,,
1992-04-28,,,,
1992-05-05,277.528,,,
1992-05-14,292.165,,,
1992-05-21,,,,
1992-05-30,,,,
1992-06-15,,,,
1992-06-22,,,,
1992-07-01,297.985,,,
1992-07-17,293.16,,,
1992-07-24,294.296,,,
1992-08-02,295.031,,,
1992-08-09,302.718,,,
1992-08-18,292.581,,,
1992-08-25,290.82,,,
1992-09-03,,,,
1992-09-10,287.921,,,
1992-09-19,274.709,,,
1992-09-26,289.555,,,
1992-10-05,283.782,,,
1992-10-12,,,,
1992-10-28,,,,
1992-11-06,,,,
1992-12-08,255.98,,,
1993-03-05,258.403,,,
1993-03-21,,,,
1993-04-06,,,,
1993-04-15,,,,
1993-04-22,,,,
1993-05-01,293.695,,,
1993-05-08,,,,
1993-05-17,295.83,,,
1993-05-24,,,,
1993-06-02,,,,
1993-06-09,296.125,,,
1993-06-18,,,,
1993-06-25,,,,
1993-07-27,,,,
1993-08-12,288.453,,,
1993-09-29,,,,
1993-10-31,278.416,,,
1993-11-25,,,,
1994-01-12,,,,
1994-02-13,,,,
1994-02-20,259.765,,,
1994-03-17,,,,
1994-03-24,,,,
1994-04-09,,,,
1994-04-25,,,,
1994-05-04,,,,
1994-05-11,,,,
1994-05-27,,,,
1994-06-12,285.604,,,
1994-06-21,,,,
1994-06-28,,,,
1994-07-14,,,,
1994-07-23,297.198,,,
1994-07-30,301.146,,,
1994-08-08,289.618,,,
1994-08-15,286.106,,,
1994-08-24,,,,
1994-08-31,290.463,,,
1994-09-16,,,,
1994-09-25,,,,
1994-10-02,,,,
1994-10-11,279.293,,,
1994-10-18,273.972,,,
1994-10-27,,,,
1994-11-03,276.451,,,
1995-01-31,261.88,,,
1995-02-07,,,,
1995-03-11,270.203,,,
1995-04-05,,,,
1995-04-21,,,,
1995-05-23,288.097,,,
1995-05-30,,,,
1995-06-08,,,,
1995-06-15,,,,
1995-07-01,297.379,,,
1995-07-10,301.0,,,
1995-08-02,292.613,,,
1995-08-11,294.021,,,
1995-08-18,290.39,,,
1995-09-03,,,,
1995-09-12,,,,
1995-10-21,,,,
1995-11-22,260.069,,,
1996-03-13,,,,
1996-03-29,,,,
1996-06-01,298.511,,,
1996-06-17,,,,
1996-07-03,,,,
1996-07-19,,,,
1996-08-04,,,,
1996-08-20,293.037,,,
1996-09-05,,,,
1996-10-23,,,,
1996-11-08,,,,
1997-04-01,,,,
