system_time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
13/04/1984,-2.424,,,,1984,4,13
29/04/1984,1.132,,,,1984,4,29
29/04/1984,,,,,1984,4,29
31/05/1984,-9.158,,,,1984,5,31
31/05/1984,-9.056,,,,1984,5,31
25/06/1984,-5.375,,,,1984,6,25
11/07/1984,34.874,,,,1984,7,11
29/09/1984,,,,,1984,9,29
15/10/1984,,,,,1984,10,15
31/10/1984,13.086,,,,1984,10,31
07/11/1984,5.573,,,,1984,11,7
07/11/1984,,,,,1984,11,7
02/12/1984,,,,,1984,12,2
09/12/1984,,,,,1984,12,9
10/01/1985,-17.386,,,,1985,1,10
19/01/1985,-17.542,,,,1985,1,19
11/02/1985,-18.775,,,,1985,2,11
11/02/1985,-19.431,,,,1985,2,11
27/02/1985,,,,,1985,2,27
27/02/1985,,,,,1985,2,27
15/03/1985,,,,,1985,3,15
24/03/1985,,,,,1985,3,24
31/03/1985,,,,,1985,3,31
31/03/1985,,,,,1985,3,31
16/04/1985,,,,,1985,4,16
02/05/1985,,,,,1985,5,2
02/05/1985,,,,,1985,5,2
11/05/1985,,,,,1985,5,11
18/05/1985,,,,,1985,5,18
31/08/1985,21.541,,,,1985,8,31
07/02/1986,-19.906,,,,1986,2,7
23/02/1986,,,,,1986,2,23
28/04/1986,17.979,,,,1986,4,28
14/05/1986,,,,,1986,5,14
15/06/1986,23.931,,,,1986,6,15
01/07/1986,26.199,,,,1986,7,1
17/07/1986,,,,,1986,7,17
02/08/1986,22.054,,,,1986,8,2
18/08/1986,,,,,1986,8,18
03/09/1986,,,,,1986,9,3
19/09/1986,,,,,1986,9,19
21/10/1986,,,,,1986,10,21
25/01/1987,,,,,1987,1,25
01/02/1987,-16.823,,,,1987,2,1
01/02/1987,-18.158,,,,1987,2,1
26/02/1987,-7.543,,,,1987,2,26
05/03/1987,-13.53,,,,1987,3,5
05/03/1987,-13.53,,,,1987,3,5
14/03/1987,-8.242,,,,1987,3,14
21/03/1987,,,,,1987,3,21
21/03/1987,,,,,1987,3,21
30/03/1987,,,,,1987,3,30
06/04/1987,,,,,1987,4,6
22/04/1987,,,,,1987,4,22
01/05/1987,,,,,1987,5,1
08/05/1987,,,,,1987,5,8
08/05/1987,,,,,1987,5,8
17/05/1987,,,,,1987,5,17
24/05/1987,,,,,1987,5,24
24/05/1987,,,,,1987,5,24
02/06/1987,,,,,1987,6,2
04/07/1987,,,,,1987,7,4
11/07/1987,18.008,,,,1987,7,11
11/07/1987,18.325,,,,1987,7,11
20/07/1987,,,,,1987,7,20
27/07/1987,,,,,1987,7,27
12/08/1987,,,,,1987,8,12
12/08/1987,,,,,1987,8,12
21/08/1987,,,,,1987,8,21
13/09/1987,,,,,1987,9,13
22/09/1987,,,,,1987,9,22
29/09/1987,,,,,1987,9,29
08/10/1987,,,,,1987,10,8
15/10/1987,,,,,1987,10,15
24/10/1987,,,,,1987,10,24
31/10/1987,4.23,,,,1987,10,31
31/10/1987,4.097,,,,1987,10,31
19/01/1988,,,,,1988,1,19
20/02/1988,,,,,1988,2,20
20/02/1988,,,,,1988,2,20
29/02/1988,,,,,1988,2,29
24/04/1988,-3.493,,,,1988,4,24
24/04/1988,-3.493,,,,1988,4,24
03/05/1988,,,,,1988,5,3
06/07/1988,,,,,1988,7,6
22/07/1988,,,,,1988,7,22
07/08/1988,,,,,1988,8,7
08/09/1988,15.96,,,,1988,9,8
24/09/1988,,,,,1988,9,24
01/10/1988,,,,,1988,10,1
01/10/1988,,,,,1988,10,1
17/10/1988,14.17,,,,1988,10,17
17/10/1988,13.712,,,,1988,10,17
26/10/1988,-1.664,,,,1988,10,26
11/11/1988,-5.035,,,,1988,11,11
30/01/1989,-8.234,,,,1989,1,30
19/03/1989,-1.206,,,,1989,3,19
07/06/1989,20.255,,,,1989,6,7
23/06/1989,,,,,1989,6,23
25/07/1989,,,,,1989,7,25
10/08/1989,20.085,,,,1989,8,10
26/08/1989,,,,,1989,8,26
11/09/1989,,,,,1989,9,11
13/10/1989,,,,,1989,10,13
14/11/1989,,,,,1989,11,14
02/02/1990,,,,,1990,2,2
18/02/1990,,,,,1990,2,18
06/03/1990,,,,,1990,3,6
22/03/1990,,,,,1990,3,22
09/05/1990,23.263,,,,1990,5,9
10/06/1990,,,,,1990,6,10
12/07/1990,20.942,,,,1990,7,12
28/07/1990,24.554,,,,1990,7,28
13/08/1990,,,,,1990,8,13
29/08/1990,23.701,,,,1990,8,29
30/09/1990,,,,,1990,9,30
16/10/1990,15.346,,,,1990,10,16
20/01/1991,-12.231,,,,1991,1,20
12/02/1991,,,,,1991,2,12
12/02/1991,,,,,1991,2,12
28/02/1991,-6.457,,,,1991,2,28
16/03/1991,5.73,,,,1991,3,16
16/03/1991,6.288,,,,1991,3,16
10/04/1991,,,,,1991,4,10
28/05/1991,,,,,1991,5,28
13/06/1991,,,,,1991,6,13
15/07/1991,,,,,1991,7,15
31/07/1991,,,,,1991,7,31
16/08/1991,20.85,,,,1991,8,16
01/09/1991,,,,,1991,9,1
03/10/1991,,,,,1991,10,3
19/10/1991,,,,,1991,10,19
12/04/1992,1.168,,,,1992,4,12
28/04/1992,,,,,1992,4,28
14/05/1992,,,,,1992,5,14
30/05/1992,,,,,1992,5,30
01/07/1992,26.995,,,,1992,7,1
17/07/1992,20.89,,,,1992,7,17
02/08/1992,,,,,1992,8,2
03/09/1992,,,,,1992,9,3
19/09/1992,14.979,,,,1992,9,19
06/11/1992,,,,,1992,11,6
25/01/1993,,,,,1993,1,25
14/03/1993,-1.688,,,,1993,3,14
30/03/1993,,,,,1993,3,30
15/04/1993,-2.343,,,,1993,4,15
01/05/1993,22.301,,,,1993,5,1
17/05/1993,22.233,,,,1993,5,17
02/06/1993,23.224,,,,1993,6,2
18/06/1993,,,,,1993,6,18
04/07/1993,,,,,1993,7,4
20/07/1993,,,,,1993,7,20
27/07/1993,,,,,1993,7,27
27/07/1993,,,,,1993,7,27
05/08/1993,,,,,1993,8,5
21/08/1993,,,,,1993,8,21
06/09/1993,11.655,,,,1993,9,6
22/09/1993,13.05,,,,1993,9,22
29/09/1993,,,,,1993,9,29
29/09/1993,,,,,1993,9,29
08/10/1993,,,,,1993,10,8
15/10/1993,,,,,1993,10,15
15/10/1993,,,,,1993,10,15
13/02/1994,,,,,1994,2,13
17/03/1994,,,,,1994,3,17
02/04/1994,,,,,1994,4,2
18/04/1994,,,,,1994,4,18
04/05/1994,2.693,,,,1994,5,4
05/06/1994,,,,,1994,6,5
21/06/1994,,,,,1994,6,21
07/07/1994,,,,,1994,7,7
23/07/1994,27.187,,,,1994,7,23
08/08/1994,18.885,,,,1994,8,8
24/08/1994,,,,,1994,8,24
09/09/1994,,,,,1994,9,9
25/09/1994,,,,,1994,9,25
11/10/1994,7.533,,,,1994,10,11
27/10/1994,,,,,1994,10,27
12/11/1994,,,,,1994,11,12
31/01/1995,,,,,1995,1,31
16/02/1995,,,,,1995,2,16
20/03/1995,-5.835,,,,1995,3,20
05/04/1995,-1.399,,,,1995,4,5
21/04/1995,2.464,,,,1995,4,21
23/05/1995,18.789,,,,1995,5,23
24/06/1995,,,,,1995,6,24
10/07/1995,27.58,,,,1995,7,10
11/08/1995,17.005,,,,1995,8,11
12/09/1995,,,,,1995,9,12
15/11/1995,,,,,1995,11,15
10/02/1996,,,,,1996,2,10
10/02/1996,,,,,1996,2,10
26/02/1996,-7.628,,,,1996,2,26
26/02/1996,-7.628,,,,1996,2,26
13/03/1996,,,,,1996,3,13
13/03/1996,,,,,1996,3,13
29/03/1996,-5.756,,,,1996,3,29
07/04/1996,0.675,,,,1996,4,7
23/04/1996,,,,,1996,4,23
30/04/1996,,,,,1996,4,30
30/04/1996,,,,,1996,4,30
25/05/1996,,,,,1996,5,25
01/06/1996,26.826,,,,1996,6,1
01/06/1996,26.72,,,,1996,6,1
10/06/1996,25.207,,,,1996,6,10
17/06/1996,,,,,1996,6,17
17/06/1996,,,,,1996,6,17
26/06/1996,,,,,1996,6,26
03/07/1996,,,,,1996,7,3
03/07/1996,,,,,1996,7,3
19/07/1996,,,,,1996,7,19
28/07/1996,,,,,1996,7,28
04/08/1996,,,,,1996,8,4
04/08/1996,,,,,1996,8,4
13/08/1996,,,,,1996,8,13
20/08/1996,,,,,1996,8,20
20/08/1996,18.135,,,,1996,8,20
29/08/1996,,,,,1996,8,29
05/09/1996,,,,,1996,9,5
05/09/1996,,,,,1996,9,5
21/09/1996,,,,,1996,9,21
30/09/1996,,,,,1996,9,30
07/10/1996,,,,,1996,10,7
16/10/1996,,,,,1996,10,16
23/10/1996,,,,,1996,10,23
08/11/1996,,,,,1996,11,8
27/01/1997,-8.734,,,,1997,1,27
27/01/1997,-8.73,,,,1997,1,27
16/03/1997,,,,,1997,3,16
16/03/1997,,,,,1997,3,16
01/04/1997,,,,,1997,4,1
01/04/1997,,,,,1997,4,1
10/04/1997,,,,,1997,4,10
03/05/1997,,,,,1997,5,3
03/05/1997,,,,,1997,5,3
19/05/1997,,,,,1997,5,19
04/06/1997,,,,,1997,6,4
04/06/1997,,,,,1997,6,4
13/06/1997,,,,,1997,6,13
29/06/1997,25.749,,,,1997,6,29
15/07/1997,,,,,1997,7,15
22/07/1997,,,,,1997,7,22
22/07/1997,,,,,1997,7,22
31/07/1997,,,,,1997,7,31
07/08/1997,20.158,,,,1997,8,7
07/08/1997,20.144,,,,1997,8,7
16/08/1997,18.751,,,,1997,8,16
23/08/1997,,,,,1997,8,23
01/09/1997,,,,,1997,9,1
08/09/1997,,,,,1997,9,8
08/09/1997,,,,,1997,9,8
17/09/1997,14.054,,,,1997,9,17
04/11/1997,,,,,1997,11,4
11/11/1997,,,,,1997,11,11
20/11/1997,-7.05,,,,1997,11,20
27/11/1997,-7.071,,,,1997,11,27
06/12/1997,,,,,1997,12,6
14/01/1998,,,,,1998,1,14
30/01/1998,,,,,1998,1,30
08/02/1998,,,,,1998,2,8
19/03/1998,,,,,1998,3,19
19/03/1998,,,,,1998,3,19
04/04/1998,,,,,1998,4,4
04/04/1998,,,,,1998,4,4
13/04/1998,,,,,1998,4,13
29/04/1998,,,,,1998,4,29
15/05/1998,,,,,1998,5,15
31/05/1998,,,,,1998,5,31
07/06/1998,32.964,,,,1998,6,7
07/06/1998,33.051,,,,1998,6,7
16/06/1998,,,,,1998,6,16
09/07/1998,,,,,1998,7,9
09/07/1998,,,,,1998,7,9
10/08/1998,22.058,,,,1998,8,10
10/08/1998,22.051,,,,1998,8,10
19/08/1998,,,,,1998,8,19
26/08/1998,,,,,1998,8,26
11/09/1998,,,,,1998,9,11
20/09/1998,,,,,1998,9,20
27/09/1998,,,,,1998,9,27
13/10/1998,,,,,1998,10,13
13/10/1998,,,,,1998,10,13
22/10/1998,,,,,1998,10,22
07/11/1998,,,,,1998,11,7
14/11/1998,,,,,1998,11,14
14/11/1998,,,,,1998,11,14
16/12/1998,,,,,1998,12,16
17/01/1999,-4.115,,,,1999,1,17
27/02/1999,-2.796,,,,1999,2,27
02/05/1999,14.278,,,,1999,5,2
18/05/1999,17.635,,,,1999,5,18
03/06/1999,,,,,1999,6,3
05/07/1999,28.847,,,,1999,7,5
13/07/1999,,19.495,,,1999,7,13
20/07/1999,,26.891,,,1999,7,20
20/07/1999,,26.879,,,1999,7,20
21/07/1999,,,,,1999,7,21
29/07/1999,,22.185,,,1999,7,29
06/08/1999,,,,,1999,8,6
14/08/1999,,,,,1999,8,14
21/08/1999,,,,,1999,8,21
21/08/1999,,,,,1999,8,21
22/08/1999,,,,,1999,8,22
30/08/1999,,,,,1999,8,30
07/09/1999,,,,,1999,9,7
15/09/1999,,22.308,,,1999,9,15
23/09/1999,,,,,1999,9,23
01/10/1999,,,,,1999,10,1
