system:time_start,LST_C_L7
"Jul 13, 1999",19.495
"Jul 20, 1999",26.879
"Jul 20, 1999",26.891
"Jul 29, 1999",22.185
"Aug 14, 1999",
"Aug 21, 1999",
"Aug 21, 1999",
"Aug 30, 1999",
"Sep 15, 1999",22.308
"Oct 1, 1999",
"Nov 2, 1999",
"Nov 18, 1999",
"Nov 25, 1999",
"Dec 4, 1999",
"Dec 20, 1999",
"Jan 5, 2000",
"Feb 22, 2000",-8.627
"Apr 10, 2000",-1.513
"Apr 26, 2000",16.432
"May 12, 2000",20.07
"May 28, 2000",
"Jun 13, 2000",26.617
"Jul 31, 2000",
"Aug 16, 2000",
"Sep 1, 2000",
"Oct 26, 2000",
"Oct 26, 2000",
"Nov 11, 2000",2.402
"Nov 11, 2000",2.515
"Nov 20, 2000",
"Nov 27, 2000",
"Nov 27, 2000",
"Dec 6, 2000",
"Dec 13, 2000",
"Dec 22, 2000",-11.545
"Feb 24, 2001",
"Mar 12, 2001",
"Mar 28, 2001",-3.338
"Apr 29, 2001",
"May 15, 2001",
"May 31, 2001",
"Jul 2, 2001",
"Jul 18, 2001",17.705
"Aug 3, 2001",
"Aug 19, 2001",25.204
"Sep 4, 2001",-16.632
"Sep 20, 2001",
"Oct 6, 2001",13.248
"Oct 13, 2001",
"Oct 13, 2001",
"Oct 29, 2001",
"Nov 7, 2001",
"Nov 30, 2001",
"Dec 9, 2001",-9.975
"Jan 10, 2002",
"Jan 26, 2002",
"Feb 11, 2002",
"Feb 27, 2002",
"Mar 31, 2002",
"Apr 16, 2002",
"May 2, 2002",20.717
"May 18, 2002",22.26
"Jun 3, 2002",20.352
"Jun 19, 2002",29.718
"Jul 5, 2002",
"Jul 21, 2002",21.081
"Aug 6, 2002",
"Aug 22, 2002",
"Sep 7, 2002",
"Oct 16, 2002",
"Oct 25, 2002",
"Nov 1, 2002",4.453
"Nov 1, 2002",3.967
"Nov 10, 2002",
"Nov 17, 2002",
"Nov 17, 2002",
"Nov 26, 2002",
"Jan 20, 2003",
"Jan 20, 2003",
"Jan 29, 2003",
"Feb 14, 2003",
"Mar 2, 2003",
"Mar 18, 2003",-0.841
"Mar 25, 2003",4.089
"Mar 25, 2003",4.089
"Apr 19, 2003",
"May 5, 2003",22.037
"May 21, 2003",
"Sep 26, 2003",12.392
"Oct 28, 2003",-1.024
"Nov 13, 2003",0.685
"Jun 8, 2004",
"Jun 24, 2004",
"Aug 11, 2004",
"Oct 30, 2004",
"Dec 1, 2004",
"Apr 15, 2005",
"Apr 15, 2005",
"Apr 24, 2005",
"May 10, 2005",
"May 26, 2005",
"Jun 27, 2005",21.118
"Jul 29, 2005",30.738
"Aug 30, 2005",
"Oct 1, 2005",
"Oct 8, 2005",
"Oct 8, 2005",
"Nov 18, 2005",
"Dec 4, 2005",
"Apr 18, 2006",
"Apr 18, 2006",
"Jun 14, 2006",
"Jul 16, 2006",17.225
"Dec 7, 2006",
"Mar 13, 2007",6.459
"Mar 29, 2007",
"Apr 5, 2007",4.233
"Apr 14, 2007",18.871
"Apr 21, 2007",6.543
"Apr 21, 2007",6.986
"Apr 30, 2007",13.87
"Jun 8, 2007",
"Jun 8, 2007",
"Jun 24, 2007",
"Jun 24, 2007",
"Jul 19, 2007",23.178
"Jul 26, 2007",
"Jul 26, 2007",
"Aug 4, 2007",14.129
"Oct 14, 2007",
"Oct 14, 2007",
"Mar 31, 2008",7.128
"May 2, 2008",
"Jun 3, 2008",25.712
"Jun 26, 2008",
"Jun 26, 2008",
"Jul 28, 2008",
"Jul 28, 2008",
"Aug 6, 2008",
"Aug 13, 2008",
"Aug 13, 2008",
"Oct 9, 2008",
"Oct 25, 2008",6.818
"Dec 3, 2008",
"Mar 25, 2009",-8.035
"Mar 25, 2009",-8.026
"Apr 3, 2009",8.889
"Apr 10, 2009",
"Apr 10, 2009",
"Apr 19, 2009",
"Apr 26, 2009",
"Apr 26, 2009",
"Jun 13, 2009",
"Jun 13, 2009",
"Jul 24, 2009",17.443
"Jul 31, 2009",
"Aug 16, 2009",
"Aug 16, 2009",
"Aug 25, 2009",21.155
"Sep 1, 2009",
"Sep 1, 2009",
"Sep 10, 2009",17.953
"Sep 26, 2009",14.674
"Oct 19, 2009",-0.361
"Nov 20, 2009",8.62
"Nov 20, 2009",9.162
"Apr 6, 2010",
"Apr 13, 2010",
"Apr 13, 2010",
"Apr 22, 2010",
"Jun 16, 2010",15.633
"Jul 2, 2010",24.456
