system:time_start,LST_C_L9
"Dec 7, 2021",
"Dec 7, 2021",
"Jan 8, 2022",
"Jan 8, 2022",
"Feb 18, 2022",
"Feb 25, 2022",
"Feb 25, 2022",
"Mar 6, 2022",
"Mar 22, 2022",1.374
"Mar 29, 2022",
"Mar 29, 2022",
"Apr 7, 2022",
"Apr 23, 2022",
"May 9, 2022",20.265
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 10, 2022",
"Jun 17, 2022",
"Jun 17, 2022",
"Jun 26, 2022",23.659
"Jul 3, 2022",24.349
"Jul 3, 2022",24.37
"Jul 12, 2022",
"Jul 19, 2022",28.41
"Jul 19, 2022",28.381
"Jul 28, 2022",
"Aug 4, 2022",23.399
"Aug 4, 2022",23.39
"Aug 13, 2022",
"Aug 29, 2022",18.073
"Sep 5, 2022",
"Sep 5, 2022",
"Sep 21, 2022",
"Sep 21, 2022",
"Sep 30, 2022",
"Oct 7, 2022",
"Oct 7, 2022",
"Oct 16, 2022",
"Oct 23, 2022",10.458
"Oct 23, 2022",10.48
"Nov 1, 2022",
"Nov 8, 2022",9.582
"Nov 8, 2022",9.818
"Nov 24, 2022",
"Jan 4, 2023",
"Jan 20, 2023",
"Feb 5, 2023",-11.416
"Mar 25, 2023",
"Apr 10, 2023",
"Apr 26, 2023",
"May 3, 2023",
"May 3, 2023",
"May 12, 2023",
"May 28, 2023",21.803
"Jun 13, 2023",
"Jun 20, 2023",
"Jun 20, 2023",
"Jun 29, 2023",
"Jul 6, 2023",
"Jul 6, 2023",
"Jul 15, 2023",27.571
"Jul 22, 2023",
"Jul 22, 2023",
"Jul 31, 2023",
"Aug 7, 2023",
"Aug 16, 2023",
"Aug 23, 2023",24.133
"Aug 23, 2023",24.143
"Sep 1, 2023",
"Sep 8, 2023",23.524
"Sep 8, 2023",23.557
"Sep 17, 2023",22.281
"Sep 24, 2023",
"Sep 24, 2023",
"Oct 3, 2023",
"Oct 10, 2023",
"Oct 19, 2023",
"Oct 26, 2023",
"Nov 4, 2023",
"Nov 11, 2023",
"Nov 27, 2023",
"Dec 13, 2023",
"Dec 29, 2023",
"Jan 23, 2024",
"Feb 24, 2024",
"Mar 11, 2024",
"Mar 27, 2024",
"Apr 12, 2024",16.674
"Apr 28, 2024",
"May 14, 2024",24.516
"May 30, 2024",
"Jun 15, 2024",
"Jun 22, 2024",
"Jun 22, 2024",
"Jul 1, 2024",
"Jul 8, 2024",22.87
"Jul 8, 2024",22.845
"Jul 17, 2024",
"Jul 24, 2024",
"Jul 24, 2024",
"Aug 9, 2024",
"Aug 9, 2024",
"Aug 18, 2024",
"Sep 3, 2024",
"Sep 10, 2024",
"Sep 10, 2024",
"Sep 19, 2024",
"Oct 12, 2024",6.68
"Oct 12, 2024",6.631
"Oct 21, 2024",
"Oct 28, 2024",
"Oct 28, 2024",
"Nov 6, 2024",
"Dec 15, 2024",
"Dec 31, 2024",-6.4
"Jan 9, 2025",
"Feb 1, 2025",
"Feb 10, 2025",
"Feb 26, 2025",
"Mar 21, 2025",4.273
"Mar 21, 2025",4.265
"Mar 30, 2025",
"May 1, 2025",20.307
"May 17, 2025",
"Jun 9, 2025",
"Jun 9, 2025",
"Jun 18, 2025",14.231
"Jun 25, 2025",
"Jun 25, 2025",
"Jul 4, 2025",21.641
"Jul 11, 2025",
"Jul 11, 2025",
"Jul 20, 2025",23.454
"Jul 27, 2025",
"Jul 27, 2025",
"Aug 5, 2025",
"Aug 12, 2025",25.37
"Aug 12, 2025",25.372
"Aug 21, 2025",
"Aug 28, 2025",
"Aug 28, 2025",
"Sep 6, 2025",
"Sep 13, 2025",
"Sep 13, 2025",
"Sep 29, 2025",
"Sep 29, 2025",
"Oct 31, 2025",
"Oct 31, 2025",
"Nov 16, 2025",
"Nov 16, 2025",
"Dec 2, 2025",
"Dec 2, 2025",
"Dec 11, 2025",
"Dec 18, 2025",
"Dec 27, 2025",-0.949
