system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-06-25,6.53,,,,1984,6,25
1984-07-11,38.084,,,,1984,7,11
1984-09-29,,,,,1984,9,29
1984-10-15,,,,,1984,10,15
1984-10-31,13.487,,,,1984,10,31
1984-12-02,,,,,1984,12,2
1985-01-19,-14.512,,,,1985,1,19
1985-03-24,,,,,1985,3,24
1985-05-11,,,,,1985,5,11
1985-08-31,,,,,1985,8,31
1986-02-07,,,,,1986,2,7
1986-02-23,,,,,1986,2,23
1986-04-21,,,,,1986,4,21
1986-04-28,,,,,1986,4,28
1986-05-07,20.484,,,,1986,5,7
1986-05-14,19.657,,,,1986,5,14
1986-05-23,,,,,1986,5,23
1986-06-15,27.122,,,,1986,6,15
1986-06-24,,,,,1986,6,24
1986-07-01,26.943,,,,1986,7,1
1986-07-10,,,,,1986,7,10
1986-07-17,,,,,1986,7,17
1986-08-02,,,,,1986,8,2
1986-08-18,,,,,1986,8,18
1986-09-03,,,,,1986,9,3
1986-09-19,,,,,1986,9,19
1986-10-14,,,,,1986,10,14
1986-10-21,,,,,1986,10,21
1986-10-30,4.658,,,,1986,10,30
1986-11-15,,,,,1986,11,15
1987-01-25,,,,,1987,1,25
1987-02-26,-10.694,,,,1987,2,26
1987-03-14,-11.27,,,,1987,3,14
1987-03-30,,,,,1987,3,30
1987-05-01,,,,,1987,5,1
1987-05-17,,,,,1987,5,17
1987-06-02,,,,,1987,6,2
1987-07-04,,,,,1987,7,4
1987-07-20,,,,,1987,7,20
1987-08-21,,,,,1987,8,21
1987-09-22,,,,,1987,9,22
1987-10-08,,,,,1987,10,8
1987-10-24,,,,,1987,10,24
1988-02-29,,,,,1988,2,29
1988-05-03,,,,,1988,5,3
1988-07-06,,,,,1988,7,6
1988-07-22,,,,,1988,7,22
1988-08-07,,,,,1988,8,7
1988-09-08,12.751,,,,1988,9,8
1988-09-24,,,,,1988,9,24
1988-10-26,-2.67,,,,1988,10,26
1988-11-11,-3.072,,,,1988,11,11
1989-01-30,-7.628,,,,1989,1,30
1989-03-19,-3.493,,,,1989,3,19
1989-06-07,,,,,1989,6,7
1989-06-23,,,,,1989,6,23
1989-07-25,,,,,1989,7,25
1989-08-10,19.066,,,,1989,8,10
1989-08-26,18.032,,,,1989,8,26
1989-09-11,,,,,1989,9,11
1989-10-06,10.189,,,,1989,10,6
1989-10-13,,,,,1989,10,13
1989-11-14,,,,,1989,11,14
1990-02-02,,,,,1990,2,2
1990-02-18,,,,,1990,2,18
1990-03-06,,,,,1990,3,6
1990-03-15,-3.493,,,,1990,3,15
1990-03-22,,,,,1990,3,22
1990-05-09,26.817,,,,1990,5,9
1990-06-10,,,,,1990,6,10
1990-07-12,25.134,,,,1990,7,12
1990-07-28,,,,,1990,7,28
1990-08-13,25.707,,,,1990,8,13
1990-08-29,20.013,,,,1990,8,29
1990-09-30,,,,,1990,9,30
1990-10-16,17.373,,,,1990,10,16
1991-01-20,-14.512,,,,1991,1,20
1991-04-10,,,,,1991,4,10
1991-05-28,,,,,1991,5,28
1991-06-13,,,,,1991,6,13
1991-07-15,,,,,1991,7,15
1991-07-31,,,,,1991,7,31
1991-08-16,20.874,,,,1991,8,16
1991-09-01,20.873,,,,1991,9,1
1991-10-03,,,,,1991,10,3
1991-10-19,,,,,1991,10,19
1992-04-12,,,,,1992,4,12
1992-04-28,,,,,1992,4,28
1992-05-14,,,,,1992,5,14
1992-05-30,,,,,1992,5,30
1992-07-01,26.986,,,,1992,7,1
1992-07-17,22.025,,,,1992,7,17
1992-08-02,,,,,1992,8,2
1992-09-03,,,,,1992,9,3
1992-09-19,17.076,,,,1992,9,19
1992-11-06,,,,,1992,11,6
1993-01-25,,,,,1993,1,25
1993-03-14,-2.985,,,,1993,3,14
1993-03-30,,,,,1993,3,30
1993-04-15,,,,,1993,4,15
1993-05-01,,,,,1993,5,1
1993-05-17,,,,,1993,5,17
1993-06-02,,,,,1993,6,2
1993-06-18,,,,,1993,6,18
1993-07-04,,,,,1993,7,4
1993-07-20,,,,,1993,7,20
1993-08-05,19.525,,,,1993,8,5
1993-08-21,,,,,1993,8,21
1993-09-06,,,,,1993,9,6
1993-09-22,,,,,1993,9,22
1993-10-08,,,,,1993,10,8
1994-02-13,,,,,1994,2,13
1994-03-17,,,,,1994,3,17
1994-04-02,,,,,1994,4,2
1994-04-18,,,,,1994,4,18
1994-05-04,-4.657,,,,1994,5,4
1994-06-05,,,,,1994,6,5
1994-06-21,22.487,,,,1994,6,21
1994-07-07,,,,,1994,7,7
1994-07-23,26.879,,,,1994,7,23
1994-08-08,,,,,1994,8,8
1994-08-24,,,,,1994,8,24
1994-09-09,,,,,1994,9,9
1994-09-25,,,,,1994,9,25
1994-10-11,2.133,,,,1994,10,11
1994-10-27,,,,,1994,10,27
1994-11-12,,,,,1994,11,12
1995-01-31,,,,,1995,1,31
1995-02-16,,,,,1995,2,16
1995-03-20,,,,,1995,3,20
1995-04-05,-3.248,,,,1995,4,5
1995-04-21,-1.782,,,,1995,4,21
1995-05-23,13.193,,,,1995,5,23
1995-06-24,,,,,1995,6,24
1995-07-10,30.418,,,,1995,7,10
1995-08-04,,,,,1995,8,4
1995-08-11,17.665,,,,1995,8,11
1995-08-20,19.837,,,,1995,8,20
1995-09-05,,,,,1995,9,5
1995-09-12,,,,,1995,9,12
1995-10-23,,,,,1995,10,23
1995-11-15,,,,,1995,11,15
1996-04-07,-2.701,,,,1996,4,7
1996-04-23,-1.186,,,,1996,4,23
1996-05-25,,,,,1996,5,25
1996-06-10,,,,,1996,6,10
1996-06-26,,,,,1996,6,26
1996-07-28,,,,,1996,7,28
1996-08-13,,,,,1996,8,13
1996-08-29,,,,,1996,8,29
1996-09-30,,,,,1996,9,30
1996-10-16,,,,,1996,10,16
1997-04-10,,,,,1997,4,10
1997-06-13,,,,,1997,6,13
1997-06-29,23.674,,,,1997,6,29
1997-07-15,,,,,1997,7,15
1997-07-31,18.25,,,,1997,7,31
1997-08-16,19.499,,,,1997,8,16
1997-09-01,,,,,1997,9,1
1997-09-17,17.469,,,,1997,9,17
1997-11-04,,,,,1997,11,4
1997-11-20,-9.456,,,,1997,11,20
1997-12-06,,,,,1997,12,6
1998-02-08,,,,,1998,2,8
1998-04-13,,,,,1998,4,13
1998-04-29,,,,,1998,4,29
1998-05-15,,,,,1998,5,15
1998-05-31,,,,,1998,5,31
1998-06-16,,,,,1998,6,16
1998-08-19,,,,,1998,8,19
1998-09-20,,,,,1998,9,20
1998-10-22,,,,,1998,10,22
1998-11-07,,,,,1998,11,7
1999-02-27,-3.591,,,,1999,2,27
1999-05-02,-1.206,,,,1999,5,2
1999-05-18,,,,,1999,5,18
1999-06-03,,,,,1999,6,3
1999-07-05,26.338,,,,1999,7,5
1999-07-13,,,,,1999,7,13
1999-07-21,,,,,1999,7,21
1999-07-29,,,,,1999,7,29
1999-08-06,,,,,1999,8,6
1999-08-14,,,,,1999,8,14
1999-08-22,,,,,1999,8,22
1999-08-30,,,,,1999,8,30
1999-09-07,,,,,1999,9,7
1999-09-15,,23.97,,,1999,9,15
1999-09-23,,,,,1999,9,23
1999-10-01,,,,,1999,10,1
1999-10-18,-0.642,,,,1999,10,18
1999-10-25,,,,,1999,10,25
1999-11-02,,,,,1999,11,2
1999-11-18,,,,,1999,11,18
1999-12-04,,,,,1999,12,4
1999-12-20,,,,,1999,12,20
2000-01-05,,,,,2000,1,5
2000-01-13,-12.476,,,,2000,1,13
2000-02-22,,,,,2000,2,22
2000-04-10,,-4.434,,,2000,4,10
2000-04-26,,0.525,,,2000,4,26
2000-05-04,,,,,2000,5,4
2000-05-12,,22.794,,,2000,5,12
2000-05-28,,,,,2000,5,28
2000-06-05,30.759,,,,2000,6,5
2000-06-13,,31.495,,,2000,6,13
2000-07-23,,,,,2000,7,23
2000-07-31,,,,,2000,7,31
2000-08-08,,,,,2000,8,8
2000-08-16,,,,,2000,8,16
2000-09-01,,,,,2000,9,1
2000-09-09,18.81,,,,2000,9,9
2000-10-27,,,,,2000,10,27
2000-11-20,,,,,2000,11,20
2000-12-06,,,,,2000,12,6
2000-12-22,,-14.44,,,2000,12,22
2001-01-15,-10.694,,,,2001,1,15
2001-02-24,,,,,2001,2,24
2001-03-12,,,,,2001,3,12
2001-03-28,,-6.702,,,2001,3,28
2001-04-29,,,,,2001,4,29
2001-05-15,,,,,2001,5,15
2001-05-23,24.152,,,,2001,5,23
2001-05-31,,,,,2001,5,31
2001-06-24,,,,,2001,6,24
2001-07-02,,,,,2001,7,2
2001-07-18,,20.802,,,2001,7,18
2001-07-26,,,,,2001,7,26
2001-08-03,,,,,2001,8,3
2001-08-11,,,,,2001,8,11
2001-08-19,,23.728,,,2001,8,19
2001-08-27,,,,,2001,8,27
2001-09-04,,-12.581,,,2001,9,4
2001-09-20,,,,,2001,9,20
2001-10-06,,14.612,,,2001,10,6
2001-11-07,,,,,2001,11,7
2001-11-15,,,,,2001,11,15
2001-12-09,,-11.553,,,2001,12,9
2002-01-10,,,,,2002,1,10
2002-01-26,,,,,2002,1,26
2002-02-03,-2.382,,,,2002,2,3
2002-02-11,,,,,2002,2,11
2002-02-19,,,,,2002,2,19
2002-02-27,,,,,2002,2,27
2002-03-07,,,,,2002,3,7
2002-03-31,,-1.691,,,2002,3,31
2002-04-16,,,,,2002,4,16
2002-05-02,,-1.812,,,2002,5,2
2002-05-18,,,,,2002,5,18
2002-05-19,,,,,2002,5,19
2002-06-03,,,,,2002,6,3
2002-06-11,,,,,2002,6,11
2002-06-19,,,,,2002,6,19
2002-06-20,,,,,2002,6,20
2002-06-27,,,,,2002,6,27
2002-07-05,,,,,2002,7,5
2002-07-21,,21.43,,,2002,7,21
2002-08-06,,,,,2002,8,6
2002-08-22,,,,,2002,8,22
2002-09-07,,,,,2002,9,7
2002-10-25,,,,,2002,10,25
2002-11-10,,,,,2002,11,10
2002-11-26,,,,,2002,11,26
2003-01-29,,,,,2003,1,29
2003-02-14,,,,,2003,2,14
2003-03-02,,,,,2003,3,2
2003-03-18,,,,,2003,3,18
2003-04-19,,,,,2003,4,19
2003-05-05,,22.257,,,2003,5,5
2003-05-21,,,,,2003,5,21
2003-07-16,,,,,2003,7,16
2003-08-01,,,,,2003,8,1
2003-08-17,25.948,,,,2003,8,17
2003-09-02,,,,,2003,9,2
2003-09-18,23.393,,,,2003,9,18
2003-09-26,,14.641,,,2003,9,26
2003-10-28,,,,,2003,10,28
2003-11-13,,,,,2003,11,13
2004-01-24,-18.123,,,,2004,1,24
2004-02-25,,,,,2004,2,25
2004-03-12,,,,,2004,3,12
2004-04-13,,,,,2004,4,13
2004-05-31,,,,,2004,5,31
2004-06-08,,,,,2004,6,8
2004-06-24,,,,,2004,6,24
2004-07-02,,,,,2004,7,2
2004-07-18,,,,,2004,7,18
2004-08-03,,,,,2004,8,3
2004-08-11,,,,,2004,8,11
2004-08-19,,,,,2004,8,19
2004-09-04,22.05,,,,2004,9,4
2004-09-20,,,,,2004,9,20
2004-10-22,4.61,,,,2004,10,22
2004-10-30,,12.264,,,2004,10,30
2004-12-01,,,,,2004,12,1
2004-12-09,,,,,2004,12,9
2004-12-25,-4.815,,,,2004,12,25
2005-01-10,,,,,2005,1,10
2005-01-26,,,,,2005,1,26
2005-02-27,,,,,2005,2,27
2005-03-15,,,,,2005,3,15
2005-03-31,-2.343,,,,2005,3,31
2005-04-16,0.584,,,,2005,4,16
2005-04-24,,,,,2005,4,24
2005-05-02,-0.504,,,,2005,5,2
2005-05-10,,,,,2005,5,10
2005-05-26,,,,,2005,5,26
2005-06-03,,,,,2005,6,3
2005-06-19,,,,,2005,6,19
2005-06-27,,24.717,,,2005,6,27
2005-07-21,,,,,2005,7,21
2005-07-29,,32.55,,,2005,7,29
2005-08-06,,,,,2005,8,6
2005-08-22,17.191,,,,2005,8,22
2005-08-30,,,,,2005,8,30
2005-09-07,20.877,,,,2005,9,7
2005-09-23,21.044,,,,2005,9,23
2005-10-01,,,,,2005,10,1
2005-10-09,10.301,,,,2005,10,9
2005-10-25,,,,,2005,10,25
2005-11-10,,,,,2005,11,10
2005-11-18,,,,,2005,11,18
2005-11-26,,,,,2005,11,26
2005-12-04,,,,,2005,12,4
2006-02-14,,,,,2006,2,14
2006-04-03,,,,,2006,4,3
2006-04-19,,,,,2006,4,19
2006-05-05,0.584,,,,2006,5,5
