system:time_start,LST_C_L5
"Jun 25, 1984",5.967
"Jul 11, 1984",38.101
"Sep 29, 1984",
"Oct 15, 1984",
"Oct 31, 1984",13.29
"Dec 2, 1984",
"Jan 19, 1985",-14.512
"Mar 24, 1985",
"May 11, 1985",
"Aug 31, 1985",19.075
"Feb 7, 1986",
"Feb 23, 1986",
"Apr 21, 1986",
"Apr 28, 1986",0.129
"May 7, 1986",19.999
"May 14, 1986",19.69
"May 23, 1986",
"Jun 15, 1986",26.6
"Jun 24, 1986",
"Jul 1, 1986",26.954
"Jul 10, 1986",
"Jul 17, 1986",
"Aug 2, 1986",
"Aug 18, 1986",
"Sep 3, 1986",
"Sep 19, 1986",
"Oct 14, 1986",
"Oct 21, 1986",
"Oct 30, 1986",4.613
"Nov 15, 1986",
"Jan 25, 1987",
"Feb 26, 1987",-10.694
"Mar 14, 1987",-10.673
"Mar 30, 1987",
"May 1, 1987",
"May 17, 1987",
"Jun 2, 1987",
"Jul 4, 1987",
"Jul 20, 1987",
"Aug 21, 1987",
"Sep 22, 1987",
"Oct 8, 1987",
"Oct 24, 1987",
"Feb 29, 1988",
"May 3, 1988",
"Jul 6, 1988",
"Jul 22, 1988",
"Aug 7, 1988",
"Sep 8, 1988",13.444
"Sep 24, 1988",
"Oct 26, 1988",-2.775
"Nov 11, 1988",-3.072
"Jan 30, 1989",-7.628
"Mar 19, 1989",-3.493
"Jun 7, 1989",
"Jun 23, 1989",
"Jul 25, 1989",
"Aug 10, 1989",19.399
"Aug 26, 1989",17.706
"Sep 11, 1989",13.491
"Oct 6, 1989",
"Oct 13, 1989",
"Nov 14, 1989",
"Feb 2, 1990",
"Feb 18, 1990",
"Mar 6, 1990",
"Mar 15, 1990",-2.917
"Mar 22, 1990",
"May 9, 1990",25.742
"Jun 10, 1990",
"Jul 12, 1990",24.064
"Jul 28, 1990",
"Aug 13, 1990",25.886
"Aug 29, 1990",20.697
"Sep 30, 1990",
"Oct 16, 1990",17.394
"Jan 20, 1991",-14.512
"Apr 10, 1991",
"May 28, 1991",
"Jun 13, 1991",
"Jul 15, 1991",
"Jul 31, 1991",
"Aug 16, 1991",21.048
"Sep 1, 1991",21.057
"Oct 3, 1991",
"Oct 19, 1991",
"Apr 12, 1992",
"Apr 28, 1992",
"May 14, 1992",
"May 30, 1992",
