system:time_start,LST_C_L7
"Jul 13, 1999",
"Jul 29, 1999",
"Aug 14, 1999",
"Aug 30, 1999",
"Sep 15, 1999",23.97
"Oct 1, 1999",
"Nov 2, 1999",
"Nov 18, 1999",
"Dec 4, 1999",
"Dec 20, 1999",
"Jan 5, 2000",
"Feb 22, 2000",
"Apr 10, 2000",-4.434
"Apr 26, 2000",0.525
"May 12, 2000",22.794
"May 28, 2000",
"Jun 13, 2000",31.495
"Jul 31, 2000",
"Aug 16, 2000",
"Sep 1, 2000",
"Nov 20, 2000",
"Dec 6, 2000",
"Dec 22, 2000",-14.44
"Feb 24, 2001",
"Mar 12, 2001",
"Mar 28, 2001",-6.702
"Apr 29, 2001",
"May 15, 2001",
"May 31, 2001",
"Jul 2, 2001",
"Jul 18, 2001",20.802
"Aug 3, 2001",
"Aug 19, 2001",23.728
"Sep 4, 2001",-12.581
"Sep 20, 2001",
"Oct 6, 2001",14.612
"Nov 7, 2001",
"Dec 9, 2001",-11.553
"Jan 10, 2002",
"Jan 26, 2002",
"Feb 11, 2002",
"Feb 27, 2002",
"Mar 31, 2002",-1.691
"Apr 16, 2002",
"May 2, 2002",-1.812
"May 18, 2002",
"Jun 3, 2002",
"Jun 19, 2002",
"Jul 5, 2002",
"Jul 21, 2002",21.43
"Aug 6, 2002",
"Aug 22, 2002",
"Sep 7, 2002",
"Oct 25, 2002",
"Nov 10, 2002",
"Nov 26, 2002",
"Jan 29, 2003",
"Feb 14, 2003",
"Mar 2, 2003",
"Mar 18, 2003",
"Apr 19, 2003",
"May 5, 2003",22.257
"May 21, 2003",
"Sep 26, 2003",14.641
"Oct 28, 2003",
"Nov 13, 2003",
"Jun 8, 2004",
"Jun 24, 2004",
"Aug 11, 2004",
"Oct 30, 2004",12.264
"Dec 1, 2004",
"Apr 24, 2005",
"May 10, 2005",
"May 26, 2005",
"Jun 27, 2005",24.717
"Jul 29, 2005",32.55
"Aug 30, 2005",
"Oct 1, 2005",
"Nov 18, 2005",
"Dec 4, 2005",
"Jun 14, 2006",32.148
"Jul 16, 2006",20.239
"Dec 7, 2006",
"Mar 13, 2007",-1.691
"Mar 29, 2007",
"Apr 14, 2007",0.951
"Apr 30, 2007",
"Jul 19, 2007",24.415
"Aug 4, 2007",16.053
"Mar 31, 2008",0.297
"May 2, 2008",
"Jun 3, 2008",29.355
"Aug 6, 2008",
"Oct 9, 2008",
"Oct 25, 2008",
"Apr 3, 2009",0.951
"Apr 19, 2009",
"Jul 24, 2009",
"Aug 25, 2009",24.579
"Sep 10, 2009",19.617
"Sep 26, 2009",17.611
"Apr 6, 2010",-0.361
"Apr 22, 2010",
"Jul 11, 2010",
"Jul 27, 2010",15.04
"Aug 12, 2010",
"Mar 24, 2011",0.297
"Apr 9, 2011",
"Apr 25, 2011",
"Jun 28, 2011",22.792
"Jul 14, 2011",
"Aug 31, 2011",
"Sep 16, 2011",
"Oct 2, 2011",21.176
"Oct 18, 2011",
"Nov 3, 2011",7.852
"Nov 19, 2011",
"Mar 26, 2012",-1.024
"Apr 11, 2012",-2.967
"Apr 27, 2012",-0.527
"May 13, 2012",
"May 29, 2012",
"Jun 30, 2012",
"Aug 1, 2012",
"Aug 17, 2012",
"Sep 18, 2012",
"Oct 4, 2012",
"Oct 20, 2012",21.959
"Nov 21, 2012",
"Dec 7, 2012",
"Mar 29, 2013",
"Apr 14, 2013",
"Apr 30, 2013",
"Jun 17, 2013",27.339
"Jul 3, 2013",
"Jul 19, 2013",26.146
"Aug 4, 2013",22.921
"Sep 5, 2013",
"Oct 7, 2013",
"Oct 23, 2013",
"Nov 8, 2013",
"Jan 11, 2014",
"Feb 12, 2014",
"Feb 28, 2014",
"Apr 17, 2014",-0.361
"May 19, 2014",
"Jun 4, 2014",
"Jul 6, 2014",
"Jul 22, 2014",20.786
"Aug 7, 2014",
"Aug 23, 2014",
"Sep 8, 2014",17.776
"Sep 24, 2014",10.226
"Oct 10, 2014",
"Oct 26, 2014",
"Nov 27, 2014",
"Dec 13, 2014",
"Jan 14, 2015",
"Feb 15, 2015",
"Mar 3, 2015",
"Mar 19, 2015",-0.834
"Apr 20, 2015",0.297
"May 22, 2015",19.344
"Jun 7, 2015",
"Jun 23, 2015",
"Jul 9, 2015",
"Jul 25, 2015",
"Aug 10, 2015",
"Aug 26, 2015",9.83
"Sep 27, 2015",
"Oct 29, 2015",
"Nov 14, 2015",
"Nov 30, 2015",
"Dec 16, 2015",
"Jan 17, 2016",
"Feb 2, 2016",
"Feb 18, 2016",
"Mar 5, 2016",
"Apr 6, 2016",
"Apr 22, 2016",0.951
"May 8, 2016",
"May 24, 2016",
"Jun 25, 2016",
"Jul 11, 2016",
"Jul 27, 2016",
"Aug 28, 2016",27.507
"Sep 13, 2016",25.018
"Sep 29, 2016",17.704
"Oct 15, 2016",
"Oct 31, 2016",
"Nov 16, 2016",
"Dec 2, 2016",
"Jan 19, 2017",-13.811
"Feb 20, 2017",
"Mar 8, 2017",
"Mar 24, 2017",
"Apr 9, 2017",
"Apr 25, 2017",
"May 11, 2017",
"May 27, 2017",27.538
"Jun 12, 2017",
"Jun 28, 2017",25.111
"Jul 14, 2017",
"Jul 30, 2017",24.311
"Aug 15, 2017",22.721
"Aug 31, 2017",24.541
"Oct 2, 2017",
"Oct 18, 2017",14.077
"Nov 3, 2017",
"Nov 12, 2017",
"Nov 19, 2017",
"Jan 6, 2018",
"Feb 7, 2018",-7.91
"Feb 23, 2018",
"Mar 11, 2018",
"Mar 27, 2018",
"Apr 12, 2018",
"Apr 28, 2018",19.188
"May 14, 2018",23.661
"May 30, 2018",
"Jun 15, 2018",24.337
"Jul 1, 2018",
"Aug 2, 2018",20.534
"Aug 18, 2018",
"Sep 3, 2018",
"Sep 19, 2018",21.254
"Oct 5, 2018",14.559
"Oct 21, 2018",
"Nov 6, 2018",
"Nov 15, 2018",
"Dec 8, 2018",
"Feb 19, 2019",
"Feb 26, 2019",-11.097
"Mar 7, 2019",
"Mar 14, 2019",
"Mar 23, 2019",-0.164
"Mar 30, 2019",-2.362
"Apr 8, 2019",
"Apr 15, 2019",-0.361
"Apr 24, 2019",
"May 1, 2019",
"May 26, 2019",
"Jun 2, 2019",27.338
"Jun 11, 2019",
"Jun 18, 2019",
"Jun 27, 2019",29.048
"Jul 4, 2019",23.855
"Jul 20, 2019",
"Jul 29, 2019",29.4
"Aug 5, 2019",
"Aug 14, 2019",
"Aug 21, 2019",
"Aug 30, 2019",
"Sep 6, 2019",
"Sep 15, 2019",
"Sep 22, 2019",17.653
"Oct 1, 2019",
"Oct 17, 2019",
"Oct 24, 2019",
"Dec 4, 2019",-5.119
"Jan 12, 2020",
"Jan 21, 2020",
"Jan 28, 2020",
"Feb 13, 2020",
"Feb 22, 2020",
"Mar 9, 2020",
"Mar 16, 2020",-7.199
"Mar 25, 2020",
"Apr 1, 2020",-7.199
"Apr 10, 2020",0.297
"Apr 17, 2020",
"Apr 26, 2020",
"May 12, 2020",0.951
"May 19, 2020",22.792
"Jun 4, 2020",11.437
"Jun 13, 2020",31.266
"Jul 6, 2020",
"Jul 15, 2020",
"Jul 22, 2020",
"Jul 31, 2020",
"Aug 7, 2020",27.938
"Aug 16, 2020",
"Aug 23, 2020",
"Sep 8, 2020",14.014
"Sep 17, 2020",
"Sep 24, 2020",15.597
"Oct 3, 2020",
"Oct 10, 2020",
"Oct 19, 2020",
"Oct 26, 2020",
"Nov 20, 2020",
"Nov 27, 2020",
"Feb 15, 2021",-18.205
"Feb 24, 2021",-4.397
"Mar 3, 2021",-1.691
"Mar 28, 2021",
"Apr 4, 2021",
"Apr 20, 2021",
"Apr 29, 2021",
"May 6, 2021",
"May 15, 2021",
"May 22, 2021",
"May 31, 2021",
"Jun 7, 2021",
"Jun 16, 2021",
"Jul 9, 2021",
"Jul 18, 2021",18.812
