system:time_start,LST_C_L9
"Feb 18, 2022",
"Mar 6, 2022",
"Mar 22, 2022",2.412
"Apr 7, 2022",
"Apr 23, 2022",4.095
"May 9, 2022",
"Jun 10, 2022",16.375
"Jun 26, 2022",
"Jul 12, 2022",
"Jul 28, 2022",
"Aug 13, 2022",
"Aug 29, 2022",17.268
"Sep 30, 2022",
"Oct 16, 2022",
"Nov 1, 2022",
"Jan 4, 2023",
"Jan 20, 2023",
"Feb 5, 2023",
"Mar 25, 2023",
"Apr 10, 2023",
"Apr 26, 2023",
"May 12, 2023",
"May 28, 2023",
"Jun 13, 2023",
"Jun 29, 2023",
"Jul 15, 2023",22.387
"Jul 31, 2023",
"Aug 16, 2023",
"Sep 1, 2023",
"Sep 17, 2023",
"Oct 3, 2023",
"Oct 19, 2023",
"Nov 4, 2023",
"Jan 23, 2024",
"Feb 24, 2024",
"Mar 11, 2024",
"Mar 27, 2024",
"Apr 12, 2024",
"Apr 28, 2024",
"May 14, 2024",21.006
"May 30, 2024",14.715
"Jun 15, 2024",
"Jul 1, 2024",
"Jul 17, 2024",
"Aug 18, 2024",
"Sep 3, 2024",24.598
"Sep 19, 2024",14.879
"Oct 21, 2024",
"Nov 6, 2024",
"Jan 9, 2025",
"Feb 10, 2025",
"Feb 26, 2025",
"Mar 30, 2025",
"May 1, 2025",
"May 17, 2025",
"Jun 18, 2025",
"Jul 4, 2025",
"Jul 20, 2025",
"Aug 5, 2025",
"Aug 21, 2025",
"Sep 6, 2025",
"Dec 11, 2025",
"Dec 27, 2025",3.215
