system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-06-25,5.967,,,,1984,6,25
1984-07-11,38.101,,,,1984,7,11
1984-09-29,,,,,1984,9,29
1984-10-15,,,,,1984,10,15
1984-10-31,13.29,,,,1984,10,31
1984-12-02,,,,,1984,12,2
1985-01-19,-14.512,,,,1985,1,19
1985-03-24,,,,,1985,3,24
1985-05-11,,,,,1985,5,11
1985-08-31,19.075,,,,1985,8,31
1986-02-07,,,,,1986,2,7
1986-02-23,,,,,1986,2,23
1986-04-21,,,,,1986,4,21
1986-04-28,0.129,,,,1986,4,28
1986-05-07,19.999,,,,1986,5,7
1986-05-14,19.69,,,,1986,5,14
1986-05-23,,,,,1986,5,23
1986-06-15,26.6,,,,1986,6,15
1986-06-24,,,,,1986,6,24
1986-07-01,26.954,,,,1986,7,1
1986-07-10,,,,,1986,7,10
1986-07-17,,,,,1986,7,17
1986-08-02,,,,,1986,8,2
1986-08-18,,,,,1986,8,18
1986-09-03,,,,,1986,9,3
1986-09-19,,,,,1986,9,19
1986-10-14,,,,,1986,10,14
1986-10-21,,,,,1986,10,21
1986-10-30,4.613,,,,1986,10,30
1986-11-15,,,,,1986,11,15
1987-01-25,,,,,1987,1,25
1987-02-26,-10.694,,,,1987,2,26
1987-03-14,-10.673,,,,1987,3,14
1987-03-30,,,,,1987,3,30
1987-05-01,,,,,1987,5,1
1987-05-17,,,,,1987,5,17
1987-06-02,,,,,1987,6,2
1987-07-04,,,,,1987,7,4
1987-07-20,,,,,1987,7,20
1987-08-21,,,,,1987,8,21
1987-09-22,,,,,1987,9,22
1987-10-08,,,,,1987,10,8
1987-10-24,,,,,1987,10,24
1988-02-29,,,,,1988,2,29
1988-05-03,,,,,1988,5,3
1988-07-06,,,,,1988,7,6
1988-07-22,,,,,1988,7,22
1988-08-07,,,,,1988,8,7
1988-09-08,13.444,,,,1988,9,8
1988-09-24,,,,,1988,9,24
1988-10-26,-2.775,,,,1988,10,26
1988-11-11,-3.072,,,,1988,11,11
1989-01-30,-7.628,,,,1989,1,30
1989-03-19,-3.493,,,,1989,3,19
1989-06-07,,,,,1989,6,7
1989-06-23,,,,,1989,6,23
1989-07-25,,,,,1989,7,25
1989-08-10,19.399,,,,1989,8,10
1989-08-26,17.706,,,,1989,8,26
1989-09-11,13.491,,,,1989,9,11
1989-10-06,,,,,1989,10,6
1989-10-13,,,,,1989,10,13
1989-11-14,,,,,1989,11,14
1990-02-02,,,,,1990,2,2
1990-02-18,,,,,1990,2,18
1990-03-06,,,,,1990,3,6
1990-03-15,-2.917,,,,1990,3,15
1990-03-22,,,,,1990,3,22
1990-05-09,25.742,,,,1990,5,9
1990-06-10,,,,,1990,6,10
1990-07-12,24.064,,,,1990,7,12
1990-07-28,,,,,1990,7,28
1990-08-13,25.886,,,,1990,8,13
1990-08-29,20.697,,,,1990,8,29
1990-09-30,,,,,1990,9,30
1990-10-16,17.394,,,,1990,10,16
1991-01-20,-14.512,,,,1991,1,20
1991-04-10,,,,,1991,4,10
1991-05-28,,,,,1991,5,28
1991-06-13,,,,,1991,6,13
1991-07-15,,,,,1991,7,15
1991-07-31,,,,,1991,7,31
1991-08-16,21.048,,,,1991,8,16
1991-09-01,21.057,,,,1991,9,1
1991-10-03,,,,,1991,10,3
1991-10-19,,,,,1991,10,19
1992-04-12,,,,,1992,4,12
1992-04-28,,,,,1992,4,28
1992-05-14,,,,,1992,5,14
1992-05-30,,,,,1992,5,30
1992-07-01,27.099,,,,1992,7,1
1992-07-17,22.215,,,,1992,7,17
1992-08-02,,,,,1992,8,2
1992-09-03,,,,,1992,9,3
1992-09-19,17.228,,,,1992,9,19
1992-11-06,,,,,1992,11,6
1993-01-25,,,,,1993,1,25
1993-03-14,-2.985,,,,1993,3,14
