system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-04-13,-1.607,,,,1984,4,13
1984-04-29,,,,,1984,4,29
1984-08-19,-2.049,,,,1984,8,19
1984-09-04,19.013,,,,1984,9,4
1984-09-20,12.448,,,,1984,9,20
1984-09-29,14.363,,,,1984,9,29
1984-10-22,2.83,,,,1984,10,22
1984-11-07,10.491,,,,1984,11,7
1984-12-09,,,,,1984,12,9
1985-02-11,-19.879,,,,1985,2,11
1985-03-15,,,,,1985,3,15
1985-03-31,,,,,1985,3,31
1985-04-16,,,,,1985,4,16
1985-06-03,,,,,1985,6,3
1985-06-12,,,,,1985,6,12
1985-06-19,,,,,1985,6,19
1985-07-05,21.579,,,,1985,7,5
1985-08-22,20.11,,,,1985,8,22
1985-09-07,,,,,1985,9,7
1985-09-23,,,,,1985,9,23
1985-10-09,,,,,1985,10,9
1985-10-18,7.567,,,,1985,10,18
1985-10-25,8.105,,,,1985,10,25
1985-11-26,,,,,1985,11,26
1986-01-29,,,,,1986,1,29
1986-02-07,,,,,1986,2,7
1986-02-14,-10.073,,,,1986,2,14
1986-03-02,,,,,1986,3,2
1986-03-18,-0.541,,,,1986,3,18
1986-04-03,,,,,1986,4,3
1986-04-19,,,,,1986,4,19
1986-04-28,,,,,1986,4,28
1986-05-05,,,,,1986,5,5
1986-05-14,,,,,1986,5,14
1986-05-21,24.855,,,,1986,5,21
1986-06-15,21.613,,,,1986,6,15
1986-06-22,,,,,1986,6,22
1986-07-01,,,,,1986,7,1
1986-07-17,24.099,,,,1986,7,17
1986-08-02,,,,,1986,8,2
1986-08-09,22.6,,,,1986,8,9
1986-08-18,20.601,,,,1986,8,18
1986-08-25,,,,,1986,8,25
1986-09-03,14.288,,,,1986,9,3
1986-09-19,9.728,,,,1986,9,19
1986-09-26,9.217,,,,1986,9,26
1986-10-12,,,,,1986,10,12
1986-10-21,,,,,1986,10,21
1986-10-28,1.523,,,,1986,10,28
1986-11-13,4.485,,,,1986,11,13
1986-11-29,0.417,,,,1986,11,29
1986-12-15,,,,,1986,12,15
1987-01-16,-17.821,,,,1987,1,16
1987-02-01,-16.785,,,,1987,2,1
1987-03-05,-16.835,,,,1987,3,5
1987-03-21,,,,,1987,3,21
1987-04-06,,,,,1987,4,6
1987-05-08,,,,,1987,5,8
1987-05-24,,,,,1987,5,24
1987-07-11,22.743,,,,1987,7,11
1987-07-27,,,,,1987,7,27
1987-08-12,,,,,1987,8,12
1987-09-13,19.061,,,,1987,9,13
1987-09-29,,,,,1987,9,29
1987-10-15,,,,,1987,10,15
1987-10-31,6.611,,,,1987,10,31
1987-12-02,,,,,1987,12,2
1988-01-03,,,,,1988,1,3
1988-01-19,-7.41,,,,1988,1,19
1988-02-20,,,,,1988,2,20
1988-04-24,-1.077,,,,1988,4,24
1988-05-10,,,,,1988,5,10
1988-05-19,,,,,1988,5,19
1988-05-26,22.258,,,,1988,5,26
1988-06-27,,,,,1988,6,27
1988-07-13,19.977,,,,1988,7,13
1988-07-22,,,,,1988,7,22
1988-07-29,21.072,,,,1988,7,29
1988-08-14,25.119,,,,1988,8,14
1988-08-30,,,,,1988,8,30
1988-09-08,,,,,1988,9,8
1988-09-15,,,,,1988,9,15
1988-10-17,15.765,,,,1988,10,17
1988-11-11,3.619,,,,1988,11,11
1988-12-20,,,,,1988,12,20
1989-01-14,-9.214,,,,1989,1,14
1989-01-21,-3.745,,,,1989,1,21
1989-01-30,-13.212,,,,1989,1,30
1989-03-10,,,,,1989,3,10
1989-04-04,,,,,1989,4,4
1989-04-11,5.351,,,,1989,4,11
1989-04-20,,,,,1989,4,20
1989-05-29,,,,,1989,5,29
1989-06-07,,,,,1989,6,7
1989-06-14,13.94,,,,1989,6,14
1989-07-16,15.257,,,,1989,7,16
1989-08-10,18.451,,,,1989,8,10
1989-08-17,,,,,1989,8,17
1989-09-02,,,,,1989,9,2
1989-09-11,,,,,1989,9,11
1989-09-18,20.357,,,,1989,9,18
1989-10-04,5.381,,,,1989,10,4
1989-10-13,,,,,1989,10,13
1989-10-20,8.848,,,,1989,10,20
1989-11-05,,,,,1989,11,5
1989-11-14,-0.097,,,,1989,11,14
1990-01-24,,,,,1990,1,24
1990-02-02,0.485,,,,1990,2,2
1990-02-09,,,,,1990,2,9
1990-02-25,1.771,,,,1990,2,25
1990-03-06,-10.506,,,,1990,3,6
1990-03-13,1.584,,,,1990,3,13
1990-03-22,,,,,1990,3,22
1990-04-14,8.945,,,,1990,4,14
1990-04-30,,,,,1990,4,30
1990-05-09,,,,,1990,5,9
1990-05-16,16.569,,,,1990,5,16
1990-06-01,,,,,1990,6,1
1990-06-17,,,,,1990,6,17
1990-07-03,,,,,1990,7,3
1990-08-04,24.125,,,,1990,8,4
1990-08-13,16.477,,,,1990,8,13
1990-08-20,,,,,1990,8,20
1990-08-29,22.679,,,,1990,8,29
1990-09-05,,,,,1990,9,5
1990-09-14,,,,,1990,9,14
1990-09-21,,,,,1990,9,21
1990-09-30,13.197,,,,1990,9,30
1990-10-07,13.383,,,,1990,10,7
1990-10-16,17.777,,,,1990,10,16
1990-10-23,8.853,,,,1990,10,23
1990-11-24,-4.074,,,,1990,11,24
1991-03-16,3.857,,,,1991,3,16
1991-04-01,,,,,1991,4,1
1991-05-19,12.252,,,,1991,5,19
1991-06-20,15.775,,,,1991,6,20
1991-07-06,22.68,,,,1991,7,6
1991-07-15,,,,,1991,7,15
1991-07-22,,,,,1991,7,22
1991-07-31,,,,,1991,7,31
1991-08-07,26.094,,,,1991,8,7
1991-08-23,20.197,,,,1991,8,23
1991-09-01,18.855,,,,1991,9,1
1991-09-24,,,,,1991,9,24
1991-10-03,,,,,1991,10,3
1991-10-10,12.444,,,,1991,10,10
1991-10-26,-2.663,,,,1991,10,26
1991-11-11,,,,,1991,11,11
1992-01-23,,,,,1992,1,23
1992-02-08,,,,,1992,2,8
1992-02-15,,,,,1992,2,15
1992-03-02,-2.343,,,,1992,3,2
1992-03-11,,,,,1992,3,11
1992-03-18,,,,,1992,3,18
1992-04-03,,,,,1992,4,3
1992-04-12,-0.284,,,,1992,4,12
1992-04-28,,,,,1992,4,28
1992-05-05,4.301,,,,1992,5,5
1992-05-14,21.849,,,,1992,5,14
1992-05-21,,,,,1992,5,21
1992-05-30,,,,,1992,5,30
1992-06-15,,,,,1992,6,15
1992-06-22,,,,,1992,6,22
1992-07-01,24.719,,,,1992,7,1
1992-07-17,20.964,,,,1992,7,17
