system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-04-13,-2.006,,,,1984,4,13
1984-04-29,-0.642,,,,1984,4,29
1984-08-19,-0.463,,,,1984,8,19
1984-09-04,,,,,1984,9,4
1984-09-20,12.111,,,,1984,9,20
1984-09-29,13.103,,,,1984,9,29
1984-10-22,1.489,,,,1984,10,22
1984-11-07,10.705,,,,1984,11,7
1984-12-09,,,,,1984,12,9
1985-02-11,-19.158,,,,1985,2,11
1985-03-15,,,,,1985,3,15
1985-03-31,,,,,1985,3,31
1985-04-16,,,,,1985,4,16
1985-06-03,,,,,1985,6,3
1985-06-12,,,,,1985,6,12
1985-06-19,,,,,1985,6,19
1985-07-05,21.156,,,,1985,7,5
1985-08-22,15.396,,,,1985,8,22
1985-09-07,,,,,1985,9,7
1985-09-23,,,,,1985,9,23
1985-10-09,,,,,1985,10,9
1985-10-18,6.737,,,,1985,10,18
1985-10-25,7.459,,,,1985,10,25
1985-11-26,,,,,1985,11,26
1986-01-29,,,,,1986,1,29
1986-02-07,,,,,1986,2,7
1986-02-14,-10.688,,,,1986,2,14
1986-03-02,,,,,1986,3,2
1986-03-18,0.785,,,,1986,3,18
1986-04-03,,,,,1986,4,3
1986-04-19,,,,,1986,4,19
1986-04-28,,,,,1986,4,28
1986-05-05,9.926,,,,1986,5,5
1986-05-14,,,,,1986,5,14
1986-05-21,24.869,,,,1986,5,21
1986-06-15,24.609,,,,1986,6,15
1986-06-22,,,,,1986,6,22
1986-07-01,,,,,1986,7,1
1986-07-17,24.368,,,,1986,7,17
1986-08-02,20.467,,,,1986,8,2
1986-08-09,22.025,,,,1986,8,9
1986-08-18,19.724,,,,1986,8,18
1986-08-25,,,,,1986,8,25
1986-09-03,14.852,,,,1986,9,3
1986-09-19,8.126,,,,1986,9,19
1986-09-26,7.833,,,,1986,9,26
1986-10-12,,,,,1986,10,12
1986-10-21,,,,,1986,10,21
1986-10-28,1.501,,,,1986,10,28
1986-11-13,4.89,,,,1986,11,13
1986-11-29,-0.186,,,,1986,11,29
1986-12-15,,,,,1986,12,15
1987-01-16,-11.602,,,,1987,1,16
1987-02-01,-13.055,,,,1987,2,1
1987-03-05,-16.562,,,,1987,3,5
1987-03-21,-5.874,,,,1987,3,21
1987-04-06,,,,,1987,4,6
1987-05-08,,,,,1987,5,8
1987-05-24,,,,,1987,5,24
1987-07-11,22.309,,,,1987,7,11
1987-07-27,,,,,1987,7,27
1987-08-12,,,,,1987,8,12
1987-09-13,18.539,,,,1987,9,13
1987-09-29,,,,,1987,9,29
1987-10-15,,,,,1987,10,15
1987-10-31,5.22,,,,1987,10,31
1987-12-02,,,,,1987,12,2
1988-01-03,,,,,1988,1,3
1988-01-19,-5.541,,,,1988,1,19
1988-02-20,,,,,1988,2,20
1988-04-24,-0.541,,,,1988,4,24
1988-05-10,,,,,1988,5,10
1988-05-19,,,,,1988,5,19
1988-05-26,20.198,,,,1988,5,26
1988-06-27,,,,,1988,6,27
1988-07-13,19.801,,,,1988,7,13
1988-07-22,,,,,1988,7,22
1988-07-29,21.436,,,,1988,7,29
1988-08-07,,,,,1988,8,7
1988-08-14,25.043,,,,1988,8,14
1988-08-30,,,,,1988,8,30
1988-09-08,13.127,,,,1988,9,8
1988-09-15,,,,,1988,9,15
1988-10-17,14.896,,,,1988,10,17
1988-11-11,3.033,,,,1988,11,11
1988-12-20,,,,,1988,12,20
1989-01-14,-9.214,,,,1989,1,14
1989-01-21,-3.923,,,,1989,1,21
1989-01-30,-8.835,,,,1989,1,30
1989-03-10,,,,,1989,3,10
1989-04-04,,,,,1989,4,4
1989-04-11,5.546,,,,1989,4,11
1989-04-20,,,,,1989,4,20
1989-05-29,,,,,1989,5,29
1989-06-07,,,,,1989,6,7
1989-06-14,11.729,,,,1989,6,14
1989-07-16,16.799,,,,1989,7,16
1989-08-10,17.665,,,,1989,8,10
1989-08-17,,,,,1989,8,17
1989-09-02,,,,,1989,9,2
1989-09-11,14.212,,,,1989,9,11
1989-09-18,19.497,,,,1989,9,18
1989-10-04,5.258,,,,1989,10,4
1989-10-13,,,,,1989,10,13
1989-10-20,9.542,,,,1989,10,20
1989-11-05,,,,,1989,11,5
1989-11-14,0.361,,,,1989,11,14
1990-01-24,,,,,1990,1,24
1990-02-02,0.498,,,,1990,2,2
1990-02-09,,,,,1990,2,9
1990-02-25,2.114,,,,1990,2,25
1990-03-06,-9.858,,,,1990,3,6
1990-03-13,2.136,,,,1990,3,13
1990-03-22,3.292,,,,1990,3,22
1990-04-14,5.569,,,,1990,4,14
1990-04-30,,,,,1990,4,30
1990-05-09,,,,,1990,5,9
1990-05-16,18.721,,,,1990,5,16
1990-06-01,,,,,1990,6,1
1990-06-17,,,,,1990,6,17
1990-07-03,,,,,1990,7,3
1990-08-04,25.176,,,,1990,8,4
1990-08-13,16.186,,,,1990,8,13
1990-08-20,,,,,1990,8,20
1990-08-29,23.345,,,,1990,8,29
1990-09-05,,,,,1990,9,5
1990-09-14,,,,,1990,9,14
1990-09-21,,,,,1990,9,21
1990-09-30,13.063,,,,1990,9,30
1990-10-07,12.58,,,,1990,10,7
1990-10-16,17.429,,,,1990,10,16
1990-10-23,8.777,,,,1990,10,23
1990-11-24,-5.226,,,,1990,11,24
1991-03-16,3.482,,,,1991,3,16
1991-04-01,,,,,1991,4,1
1991-05-19,13.273,,,,1991,5,19
1991-06-20,15.233,,,,1991,6,20
1991-07-06,23.082,,,,1991,7,6
1991-07-15,,,,,1991,7,15
1991-07-22,,,,,1991,7,22
1991-07-31,,,,,1991,7,31
1991-08-07,25.282,,,,1991,8,7
1991-08-23,17.006,,,,1991,8,23
1991-09-01,18.871,,,,1991,9,1
1991-09-24,,,,,1991,9,24
1991-10-03,10.176,,,,1991,10,3
1991-10-10,11.223,,,,1991,10,10
1991-10-26,-4.079,,,,1991,10,26
1991-11-11,,,,,1991,11,11
1992-01-23,,,,,1992,1,23
1992-02-08,,,,,1992,2,8
1992-02-15,,,,,1992,2,15
1992-03-02,-1.084,,,,1992,3,2
1992-03-11,,,,,1992,3,11
1992-03-18,,,,,1992,3,18
1992-04-03,,,,,1992,4,3
1992-04-12,1.722,,,,1992,4,12
1992-04-28,,,,,1992,4,28
1992-05-05,4.341,,,,1992,5,5
1992-05-14,19.465,,,,1992,5,14
1992-05-21,,,,,1992,5,21
1992-05-30,,,,,1992,5,30
1992-06-15,,,,,1992,6,15
1992-06-22,,,,,1992,6,22
1992-07-01,24.957,,,,1992,7,1
1992-07-17,19.77,,,,1992,7,17
1992-07-24,21.196,,,,1992,7,24
1992-08-02,21.914,,,,1992,8,2
1992-08-09,29.728,,,,1992,8,9
1992-08-18,19.431,,,,1992,8,18
1992-08-25,17.574,,,,1992,8,25
1992-09-03,,,,,1992,9,3
1992-09-10,14.933,,,,1992,9,10
1992-09-19,1.777,,,,1992,9,19
1992-09-26,16.309,,,,1992,9,26
1992-10-05,10.678,,,,1992,10,5
1992-10-12,,,,,1992,10,12
1992-10-28,,,,,1992,10,28
1992-11-06,,,,,1992,11,6
1992-12-08,-16.41,,,,1992,12,8
1993-03-05,-15.188,,,,1993,3,5
1993-03-21,,,,,1993,3,21
1993-04-06,,,,,1993,4,6
1993-04-15,,,,,1993,4,15
1993-04-22,,,,,1993,4,22
1993-05-01,20.512,,,,1993,5,1
1993-05-08,,,,,1993,5,8
1993-05-17,23.393,,,,1993,5,17
1993-05-24,,,,,1993,5,24
1993-06-02,,,,,1993,6,2
1993-06-09,23.163,,,,1993,6,9
1993-06-18,,,,,1993,6,18
1993-06-25,,,,,1993,6,25
1993-07-27,,,,,1993,7,27
1993-08-12,15.261,,,,1993,8,12
1993-09-29,,,,,1993,9,29
1993-10-31,5.078,,,,1993,10,31
1993-11-25,,,,,1993,11,25
1994-01-12,,,,,1994,1,12
1994-02-13,,,,,1994,2,13
1994-02-20,-13.131,,,,1994,2,20
1994-03-17,,,,,1994,3,17
1994-03-24,,,,,1994,3,24
1994-04-09,,,,,1994,4,9
1994-04-25,,,,,1994,4,25
1994-05-04,,,,,1994,5,4
1994-05-11,,,,,1994,5,11
1994-05-27,,,,,1994,5,27
1994-06-12,12.495,,,,1994,6,12
1994-06-21,,,,,1994,6,21
1994-06-28,,,,,1994,6,28
1994-07-14,,,,,1994,7,14
1994-07-23,24.262,,,,1994,7,23
1994-07-30,28.304,,,,1994,7,30
1994-08-08,16.722,,,,1994,8,8
1994-08-15,13.011,,,,1994,8,15
1994-08-24,,,,,1994,8,24
1994-08-31,17.587,,,,1994,8,31
1994-09-16,,,,,1994,9,16
1994-09-25,,,,,1994,9,25
1994-10-02,,,,,1994,10,2
1994-10-11,5.834,,,,1994,10,11
1994-10-18,0.774,,,,1994,10,18
1994-10-27,,,,,1994,10,27
1994-11-03,3.054,,,,1994,11,3
1995-01-31,-11.27,,,,1995,1,31
1995-02-07,,,,,1995,2,7
1995-03-11,-3.131,,,,1995,3,11
1995-04-05,,,,,1995,4,5
1995-04-21,,,,,1995,4,21
1995-05-23,15.23,,,,1995,5,23
1995-05-30,,,,,1995,5,30
1995-06-08,,,,,1995,6,8
1995-06-15,,,,,1995,6,15
1995-07-01,24.487,,,,1995,7,1
1995-07-10,27.951,,,,1995,7,10
1995-08-02,19.766,,,,1995,8,2
1995-08-11,20.616,,,,1995,8,11
1995-08-18,17.6,,,,1995,8,18
1995-09-03,,,,,1995,9,3
1995-09-12,,,,,1995,9,12
1995-10-21,,,,,1995,10,21
1995-11-22,-14.098,,,,1995,11,22
1996-03-13,,,,,1996,3,13
1996-03-29,,,,,1996,3,29
1996-06-01,25.487,,,,1996,6,1
1996-06-17,,,,,1996,6,17
1996-07-03,,,,,1996,7,3
1996-07-19,,,,,1996,7,19
1996-08-04,,,,,1996,8,4
1996-08-20,19.851,,,,1996,8,20
1996-09-05,,,,,1996,9,5
1996-10-23,,,,,1996,10,23
1996-11-08,,,,,1996,11,8
1997-04-01,,,,,1997,4,1
1997-05-03,14.52,,,,1997,5,3
1997-05-19,19.088,,,,1997,5,19
1997-06-04,,,,,1997,6,4
1997-07-06,,,,,1997,7,6
1997-08-07,,,,,1997,8,7
1997-08-23,,,,,1997,8,23
1997-09-08,12.857,,,,1997,9,8
1997-11-27,,,,,1997,11,27
1998-01-14,,,,,1998,1,14
1998-01-30,,,,,1998,1,30
1998-02-15,,,,,1998,2,15
1998-03-03,,,,,1998,3,3
1998-03-19,,,,,1998,3,19
1998-04-04,,,,,1998,4,4
1998-04-20,,,,,1998,4,20
1998-06-07,,,,,1998,6,7
1998-08-10,25.335,,,,1998,8,10
1998-08-26,13.23,,,,1998,8,26
1998-09-27,,,,,1998,9,27
1998-10-13,,,,,1998,10,13
1998-12-16,,,,,1998,12,16
1999-01-17,-6.558,,,,1999,1,17
1999-02-27,-2.691,,,,1999,2,27
1999-03-06,,,,,1999,3,6
1999-03-22,,,,,1999,3,22
1999-04-23,,,,,1999,4,23
1999-05-09,,,,,1999,5,9
1999-05-18,,,,,1999,5,18
1999-06-26,22.051,,,,1999,6,26
1999-07-05,28.846,,,,1999,7,5
1999-07-12,,,,,1999,7,12
1999-07-20,,,,,1999,7,20
1999-07-21,,,,,1999,7,21
1999-07-28,,,,,1999,7,28
1999-08-05,,,,,1999,8,5
1999-08-06,,,,,1999,8,6
1999-08-13,,,,,1999,8,13
1999-08-21,,,,,1999,8,21
1999-08-22,12.334,,,,1999,8,22
1999-08-29,,,,,1999,8,29
1999-08-30,,,,,1999,8,30
1999-09-06,,,,,1999,9,6
1999-09-07,,,,,1999,9,7
1999-09-14,22.443,,,,1999,9,14
1999-09-22,,16.87,,,1999,9,22
1999-09-30,,,,,1999,9,30
1999-10-01,,,,,1999,10,1
1999-10-08,,,,,1999,10,8
1999-10-16,,,,,1999,10,16
1999-10-17,,,,,1999,10,17
1999-10-24,,5.853,,,1999,10,24
1999-11-01,8.984,,,,1999,11,1
1999-11-02,,,,,1999,11,2
1999-11-18,,,,,1999,11,18
1999-12-03,,,,,1999,12,3
1999-12-11,,,,,1999,12,11
1999-12-20,,,,,1999,12,20
2000-01-12,,-11.901,,,2000,1,12
2000-01-13,-12.279,,,,2000,1,13
2000-01-20,-17.796,,,,2000,1,20
2000-01-28,,,,,2000,1,28
2000-02-13,,,,,2000,2,13
