system:time_start,LST_C_L5
"Apr 13, 1984",-1.607
"Apr 29, 1984",
"Aug 19, 1984",-2.049
"Sep 4, 1984",19.013
"Sep 20, 1984",12.448
"Sep 29, 1984",14.363
"Oct 22, 1984",2.83
"Nov 7, 1984",10.491
"Dec 9, 1984",
"Feb 11, 1985",-19.879
"Mar 15, 1985",
"Mar 31, 1985",
"Apr 16, 1985",
"Jun 3, 1985",
"Jun 12, 1985",
"Jun 19, 1985",
"Jul 5, 1985",21.579
"Aug 22, 1985",20.11
"Sep 7, 1985",
"Sep 23, 1985",
"Oct 9, 1985",
"Oct 18, 1985",7.567
"Oct 25, 1985",8.105
"Nov 26, 1985",
"Jan 29, 1986",
"Feb 7, 1986",
"Feb 14, 1986",-10.073
"Mar 2, 1986",
"Mar 18, 1986",-0.541
"Apr 3, 1986",
"Apr 19, 1986",
"Apr 28, 1986",
"May 5, 1986",
"May 14, 1986",
"May 21, 1986",24.855
"Jun 15, 1986",21.613
"Jun 22, 1986",
"Jul 1, 1986",
"Jul 17, 1986",24.099
"Aug 2, 1986",
"Aug 9, 1986",22.6
"Aug 18, 1986",20.601
"Aug 25, 1986",
"Sep 3, 1986",14.288
"Sep 19, 1986",9.728
"Sep 26, 1986",9.217
"Oct 12, 1986",
"Oct 21, 1986",
"Oct 28, 1986",1.523
"Nov 13, 1986",4.485
"Nov 29, 1986",0.417
"Dec 15, 1986",
"Jan 16, 1987",-17.821
"Feb 1, 1987",-16.785
"Mar 5, 1987",-16.835
"Mar 21, 1987",
"Apr 6, 1987",
"May 8, 1987",
"May 24, 1987",
"Jul 11, 1987",22.743
"Jul 27, 1987",
"Aug 12, 1987",
"Sep 13, 1987",19.061
"Sep 29, 1987",
"Oct 15, 1987",
"Oct 31, 1987",6.611
"Dec 2, 1987",
"Jan 3, 1988",
"Jan 19, 1988",-7.41
"Feb 20, 1988",
"Apr 24, 1988",-1.077
"May 10, 1988",
"May 19, 1988",
"May 26, 1988",22.258
"Jun 27, 1988",
"Jul 13, 1988",19.977
"Jul 22, 1988",
"Jul 29, 1988",21.072
"Aug 14, 1988",25.119
"Aug 30, 1988",
"Sep 8, 1988",
"Sep 15, 1988",
"Oct 17, 1988",15.765
"Nov 11, 1988",3.619
"Dec 20, 1988",
"Jan 14, 1989",-9.214
"Jan 21, 1989",-3.745
"Jan 30, 1989",-13.212
"Mar 10, 1989",
"Apr 4, 1989",
"Apr 11, 1989",5.351
"Apr 20, 1989",
"May 29, 1989",
"Jun 7, 1989",
"Jun 14, 1989",13.94
"Jul 16, 1989",15.257
"Aug 10, 1989",18.451
"Aug 17, 1989",
"Sep 2, 1989",
"Sep 11, 1989",
"Sep 18, 1989",20.357
"Oct 4, 1989",5.381
"Oct 13, 1989",
"Oct 20, 1989",8.848
"Nov 5, 1989",
"Nov 14, 1989",-0.097
"Jan 24, 1990",
"Feb 2, 1990",0.485
"Feb 9, 1990",
"Feb 25, 1990",1.771
"Mar 6, 1990",-10.506
"Mar 13, 1990",1.584
"Mar 22, 1990",
"Apr 14, 1990",8.945
"Apr 30, 1990",
"May 9, 1990",
"May 16, 1990",16.569
"Jun 1, 1990",
"Jun 17, 1990",
"Jul 3, 1990",
"Aug 4, 1990",24.125
"Aug 13, 1990",16.477
"Aug 20, 1990",
"Aug 29, 1990",22.679
"Sep 5, 1990",
"Sep 14, 1990",
"Sep 21, 1990",
"Sep 30, 1990",13.197
"Oct 7, 1990",13.383
"Oct 16, 1990",17.777
"Oct 23, 1990",8.853
"Nov 24, 1990",-4.074
"Mar 16, 1991",3.857
"Apr 1, 1991",
"May 19, 1991",12.252
"Jun 20, 1991",15.775
"Jul 6, 1991",22.68
"Jul 15, 1991",
"Jul 22, 1991",
"Jul 31, 1991",
"Aug 7, 1991",26.094
"Aug 23, 1991",20.197
"Sep 1, 1991",18.855
"Sep 24, 1991",
"Oct 3, 1991",
"Oct 10, 1991",12.444
"Oct 26, 1991",-2.663
"Nov 11, 1991",
"Jan 23, 1992",
"Feb 8, 1992",
"Feb 15, 1992",
"Mar 2, 1992",-2.343
"Mar 11, 1992",
"Mar 18, 1992",
"Apr 3, 1992",
"Apr 12, 1992",-0.284
"Apr 28, 1992",
"May 5, 1992",4.301
"May 14, 1992",21.849
"May 21, 1992",
"May 30, 1992",
"Jun 15, 1992",
"Jun 22, 1992",
"Jul 1, 1992",24.719
"Jul 17, 1992",20.964
"Jul 24, 1992",21.31
"Aug 2, 1992",22.233
"Aug 9, 1992",30.197
"Aug 18, 1992",
"Aug 25, 1992",19.032
"Sep 3, 1992",
"Sep 10, 1992",15.448
"Sep 19, 1992",
"Sep 26, 1992",17.037
"Oct 5, 1992",11.599
"Oct 12, 1992",
"Oct 28, 1992",
"Nov 6, 1992",
"Dec 8, 1992",-17.234
"Mar 5, 1993",-14.94
"Mar 21, 1993",
"Apr 6, 1993",
"Apr 15, 1993",
"Apr 22, 1993",
"May 1, 1993",19.764
"May 8, 1993",
"May 17, 1993",20.917
"May 24, 1993",
"Jun 2, 1993",
"Jun 9, 1993",22.835
"Jun 18, 1993",
"Jun 25, 1993",
"Jul 27, 1993",
"Aug 12, 1993",16.899
"Sep 29, 1993",
"Oct 31, 1993",4.438
"Nov 25, 1993",
"Jan 12, 1994",
"Feb 13, 1994",
"Feb 20, 1994",-14.739
"Mar 17, 1994",
"Mar 24, 1994",
"Apr 9, 1994",
"Apr 25, 1994",
"May 4, 1994",
"May 11, 1994",
"May 27, 1994",
"Jun 12, 1994",13.7
"Jun 21, 1994",
"Jun 28, 1994",
"Jul 14, 1994",
"Jul 23, 1994",23.557
"Jul 30, 1994",28.287
"Aug 8, 1994",15.719
"Aug 15, 1994",13.196
"Aug 24, 1994",
"Aug 31, 1994",16.793
"Sep 16, 1994",
"Sep 25, 1994",
"Oct 2, 1994",
"Oct 11, 1994",6.194
"Oct 18, 1994",0.62
"Oct 27, 1994",
"Nov 3, 1994",2.685
"Jan 31, 1995",-11.871
"Feb 7, 1995",
"Mar 11, 1995",-3.617
"Apr 5, 1995",
"Apr 21, 1995",
"May 23, 1995",14.258
"May 30, 1995",
"Jun 8, 1995",
"Jun 15, 1995",
"Jul 1, 1995",23.957
"Jul 10, 1995",28.044
"Aug 2, 1995",19.744
"Aug 11, 1995",20.723
"Aug 18, 1995",18.062
"Sep 3, 1995",
"Sep 12, 1995",
"Oct 21, 1995",
"Nov 22, 1995",-17.675
"Mar 13, 1996",
"Mar 29, 1996",
"Jun 1, 1996",24.751
"Jun 17, 1996",
"Jul 3, 1996",
"Jul 19, 1996",
"Aug 4, 1996",
"Aug 20, 1996",19.435
"Sep 5, 1996",
"Oct 23, 1996",
"Nov 8, 1996",
"Apr 1, 1997",
"May 3, 1997",16.357
"May 19, 1997",17.439
"Jun 4, 1997",
"Jul 6, 1997",
"Aug 7, 1997",18.245
"Aug 23, 1997",
"Sep 8, 1997",13.054
"Nov 27, 1997",
"Jan 14, 1998",
"Jan 30, 1998",
"Feb 15, 1998",
"Mar 3, 1998",-7.938
"Mar 19, 1998",
