system:time_start,LST_C_L5
"Apr 13, 1984",-1.647
"Apr 29, 1984",-0.642
"Aug 19, 1984",-2.087
"Sep 4, 1984",19.093
"Sep 20, 1984",13.67
"Sep 29, 1984",14.431
"Oct 22, 1984",
"Nov 7, 1984",10.532
"Dec 9, 1984",
"Feb 11, 1985",-19.639
"Mar 15, 1985",
"Mar 31, 1985",
"Apr 16, 1985",
"Jun 3, 1985",
"Jun 12, 1985",
"Jun 19, 1985",
"Jul 5, 1985",23.466
"Aug 22, 1985",21.758
"Sep 7, 1985",
"Sep 23, 1985",
"Oct 9, 1985",
"Oct 18, 1985",8.609
"Oct 25, 1985",8.435
"Nov 26, 1985",
"Jan 29, 1986",
"Feb 7, 1986",
"Feb 14, 1986",-10.22
"Mar 2, 1986",
"Mar 18, 1986",-0.973
"Apr 3, 1986",
"Apr 19, 1986",
"Apr 28, 1986",
"May 5, 1986",16.659
"May 14, 1986",
"May 21, 1986",25.736
"Jun 15, 1986",23.957
"Jun 22, 1986",
"Jul 1, 1986",
"Jul 17, 1986",25.145
"Aug 2, 1986",
"Aug 9, 1986",24.276
"Aug 18, 1986",21.785
"Aug 25, 1986",
"Sep 3, 1986",15.49
"Sep 19, 1986",10.99
"Sep 26, 1986",10.987
"Oct 12, 1986",
"Oct 21, 1986",
"Oct 28, 1986",1.977
"Nov 13, 1986",4.963
"Nov 29, 1986",0.931
"Dec 15, 1986",
"Jan 16, 1987",-18.498
"Feb 1, 1987",-17.523
"Mar 5, 1987",-16.835
"Mar 21, 1987",
"Apr 6, 1987",
"May 8, 1987",
"May 24, 1987",
"Jul 11, 1987",24.594
"Jul 27, 1987",
"Aug 12, 1987",
"Sep 13, 1987",19.526
"Sep 29, 1987",
"Oct 15, 1987",
"Oct 31, 1987",7.939
"Dec 2, 1987",
"Jan 3, 1988",
"Jan 19, 1988",-8.153
"Feb 20, 1988",
"Apr 24, 1988",-0.905
"May 10, 1988",
"May 19, 1988",
"May 26, 1988",22.657
"Jun 27, 1988",
"Jul 13, 1988",21.859
"Jul 22, 1988",
"Jul 29, 1988",22.802
"Aug 14, 1988",27.197
"Aug 30, 1988",
"Sep 8, 1988",15.304
"Sep 15, 1988",
"Oct 17, 1988",16.313
"Nov 11, 1988",3.891
"Dec 20, 1988",
"Jan 14, 1989",-9.214
"Jan 21, 1989",-3.413
"Jan 30, 1989",-13.872
"Mar 10, 1989",
"Apr 4, 1989",
"Apr 11, 1989",4.093
"Apr 20, 1989",
"May 29, 1989",
"Jun 7, 1989",
"Jun 14, 1989",15.606
"Jul 16, 1989",17.473
"Aug 10, 1989",19.9
"Aug 17, 1989",
"Sep 2, 1989",
"Sep 11, 1989",16.509
"Sep 18, 1989",21.501
"Oct 4, 1989",6.572
"Oct 13, 1989",
"Oct 20, 1989",9.847
"Nov 5, 1989",
"Nov 14, 1989",0.832
"Jan 24, 1990",
"Feb 2, 1990",-0.083
"Feb 9, 1990",
"Feb 25, 1990",0.284
"Mar 6, 1990",-10.715
"Mar 13, 1990",1.584
"Mar 22, 1990",6.815
"Apr 14, 1990",10.167
"Apr 30, 1990",
"May 9, 1990",
"May 16, 1990",18.604
"Jun 1, 1990",
"Jun 17, 1990",
"Jul 3, 1990",
"Aug 4, 1990",26.399
"Aug 13, 1990",17.682
"Aug 20, 1990",
"Aug 29, 1990",23.814
"Sep 5, 1990",
"Sep 14, 1990",
"Sep 21, 1990",
"Sep 30, 1990",14.152
"Oct 7, 1990",14.228
