system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-04-13,-2.371,,,,1984,4,13
1984-04-29,,,,,1984,4,29
1984-08-19,-5.78,,,,1984,8,19
1984-09-04,18.955,,,,1984,9,4
1984-09-20,13.42,,,,1984,9,20
1984-09-29,,,,,1984,9,29
1984-10-22,4.981,,,,1984,10,22
1984-10-31,11.994,,,,1984,10,31
1984-11-07,12.068,,,,1984,11,7
1984-12-09,,,,,1984,12,9
1985-01-19,,,,,1985,1,19
1985-02-11,-17.605,,,,1985,2,11
1985-03-15,,,,,1985,3,15
1985-03-24,,,,,1985,3,24
1985-03-31,,,,,1985,3,31
1985-04-16,,,,,1985,4,16
1985-05-11,17.463,,,,1985,5,11
1985-06-03,,,,,1985,6,3
1985-06-12,,,,,1985,6,12
1985-06-19,16.238,,,,1985,6,19
1985-07-05,20.791,,,,1985,7,5
1985-08-22,23.47,,,,1985,8,22
1985-09-07,,,,,1985,9,7
1985-09-23,,,,,1985,9,23
1985-10-09,,,,,1985,10,9
1985-10-18,8.029,,,,1985,10,18
1985-10-25,6.961,,,,1985,10,25
1985-11-26,,,,,1985,11,26
1986-01-29,,,,,1986,1,29
1986-02-07,,,,,1986,2,7
1986-02-14,-11.653,,,,1986,2,14
1986-03-02,,,,,1986,3,2
1986-03-18,-0.041,,,,1986,3,18
1986-04-03,,,,,1986,4,3
1986-04-19,,,,,1986,4,19
1986-04-28,,,,,1986,4,28
1986-05-05,17.489,,,,1986,5,5
1986-05-14,,,,,1986,5,14
1986-05-21,24.205,,,,1986,5,21
1986-06-15,,,,,1986,6,15
1986-06-22,23.34,,,,1986,6,22
1986-07-01,,,,,1986,7,1
1986-07-17,23.702,,,,1986,7,17
1986-08-02,,,,,1986,8,2
1986-08-09,20.81,,,,1986,8,9
1986-08-18,20.681,,,,1986,8,18
1986-08-25,,,,,1986,8,25
1986-09-03,13.916,,,,1986,9,3
1986-09-19,8.768,,,,1986,9,19
1986-09-26,7.663,,,,1986,9,26
1986-10-12,,,,,1986,10,12
1986-10-21,,,,,1986,10,21
1986-10-28,1.547,,,,1986,10,28
1986-11-13,4.712,,,,1986,11,13
1986-11-22,,,,,1986,11,22
1986-11-29,-0.321,,,,1986,11,29
1986-12-15,,,,,1986,12,15
1987-01-16,-11.08,,,,1987,1,16
1987-02-01,-12.927,,,,1987,2,1
1987-02-26,-7.628,,,,1987,2,26
1987-03-05,-16.499,,,,1987,3,5
1987-03-14,-10.08,,,,1987,3,14
1987-03-21,,,,,1987,3,21
1987-03-30,,,,,1987,3,30
1987-04-06,,,,,1987,4,6
1987-05-01,8.045,,,,1987,5,1
1987-05-08,,,,,1987,5,8
1987-05-17,,,,,1987,5,17
1987-05-24,,,,,1987,5,24
1987-06-02,,,,,1987,6,2
1987-07-04,20.219,,,,1987,7,4
1987-07-11,22.489,,,,1987,7,11
1987-07-27,,,,,1987,7,27
1987-08-05,,,,,1987,8,5
1987-08-12,,,,,1987,8,12
1987-08-21,18.556,,,,1987,8,21
1987-09-13,18.349,,,,1987,9,13
1987-09-22,,,,,1987,9,22
1987-09-29,,,,,1987,9,29
1987-10-08,,,,,1987,10,8
1987-10-15,,,,,1987,10,15
1987-10-24,,,,,1987,10,24
1987-10-31,5.904,,,,1987,10,31
1987-12-02,,,,,1987,12,2
1988-01-03,,,,,1988,1,3
1988-01-12,-8.034,,,,1988,1,12
1988-01-19,-3.612,,,,1988,1,19
1988-02-20,,,,,1988,2,20
1988-02-29,,,,,1988,2,29
1988-04-24,-0.825,,,,1988,4,24
1988-05-10,,,,,1988,5,10
1988-05-19,,,,,1988,5,19
1988-05-26,,,,,1988,5,26
1988-06-27,,,,,1988,6,27
1988-07-13,,,,,1988,7,13
1988-07-22,,,,,1988,7,22
1988-07-29,19.113,,,,1988,7,29
1988-08-07,22.609,,,,1988,8,7
1988-08-14,25.254,,,,1988,8,14
1988-08-30,13.546,,,,1988,8,30
1988-09-08,13.208,,,,1988,9,8
1988-09-15,,,,,1988,9,15
1988-09-24,,,,,1988,9,24
1988-10-10,,,,,1988,10,10
1988-10-17,16.147,,,,1988,10,17
1988-10-26,2.318,,,,1988,10,26
1988-11-11,-0.736,,,,1988,11,11
1988-12-20,,,,,1988,12,20
1989-01-14,-6.973,,,,1989,1,14
1989-01-21,-2.428,,,,1989,1,21
1989-01-30,-8.324,,,,1989,1,30
1989-03-10,,,,,1989,3,10
1989-03-19,,,,,1989,3,19
1989-04-04,,,,,1989,4,4
1989-04-11,14.293,,,,1989,4,11
1989-04-20,,,,,1989,4,20
1989-05-29,,,,,1989,5,29
1989-06-07,,,,,1989,6,7
1989-06-14,14.702,,,,1989,6,14
1989-07-16,16.916,,,,1989,7,16
1989-08-10,,,,,1989,8,10
1989-08-17,,,,,1989,8,17
1989-09-02,,,,,1989,9,2
1989-09-11,,,,,1989,9,11
1989-09-18,20.239,,,,1989,9,18
1989-10-04,4.872,,,,1989,10,4
1989-10-13,,,,,1989,10,13
1989-10-20,10.624,,,,1989,10,20
1989-11-05,2.959,,,,1989,11,5
1989-11-14,2.021,,,,1989,11,14
1990-01-24,,,,,1990,1,24
1990-02-02,2.88,,,,1990,2,2
1990-02-09,,,,,1990,2,9
1990-02-25,3.925,,,,1990,2,25
1990-03-06,-15.853,,,,1990,3,6
1990-03-13,3.145,,,,1990,3,13
1990-03-22,9.142,,,,1990,3,22
1990-04-14,8.718,,,,1990,4,14
1990-04-30,,,,,1990,4,30
