system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-04-13,-2.038,,,,1984,4,13
1984-04-29,,,,,1984,4,29
1984-08-19,-7.283,,,,1984,8,19
1984-09-04,17.626,,,,1984,9,4
1984-09-20,12.378,,,,1984,9,20
1984-09-29,,,,,1984,9,29
1984-10-22,,,,,1984,10,22
1984-10-31,11.227,,,,1984,10,31
1984-11-07,11.729,,,,1984,11,7
1984-12-09,-1.362,,,,1984,12,9
1985-01-19,,,,,1985,1,19
1985-02-11,-18.298,,,,1985,2,11
1985-03-15,,,,,1985,3,15
1985-03-24,,,,,1985,3,24
1985-03-31,,,,,1985,3,31
1985-04-16,,,,,1985,4,16
1985-05-11,15.186,,,,1985,5,11
1985-06-03,,,,,1985,6,3
1985-06-12,,,,,1985,6,12
1985-06-19,16.274,,,,1985,6,19
1985-07-05,19.144,,,,1985,7,5
1985-08-22,22.565,,,,1985,8,22
1985-09-07,,,,,1985,9,7
1985-09-23,,,,,1985,9,23
1985-10-09,,,,,1985,10,9
1985-10-18,7.14,,,,1985,10,18
1985-10-25,6.728,,,,1985,10,25
1985-11-26,,,,,1985,11,26
1986-01-29,,,,,1986,1,29
1986-02-07,,,,,1986,2,7
1986-02-14,-11.1,,,,1986,2,14
1986-03-02,,,,,1986,3,2
1986-03-18,1.105,,,,1986,3,18
1986-04-03,,,,,1986,4,3
1986-04-19,,,,,1986,4,19
1986-04-28,,,,,1986,4,28
1986-05-05,16.26,,,,1986,5,5
1986-05-14,,,,,1986,5,14
1986-05-21,22.932,,,,1986,5,21
1986-06-15,,,,,1986,6,15
1986-06-22,21.749,,,,1986,6,22
1986-07-01,,,,,1986,7,1
1986-07-17,22.15,,,,1986,7,17
1986-08-02,,,,,1986,8,2
1986-08-09,19.712,,,,1986,8,9
1986-08-18,19.129,,,,1986,8,18
1986-08-25,,,,,1986,8,25
1986-09-03,13.396,,,,1986,9,3
1986-09-19,7.135,,,,1986,9,19
1986-09-26,7.102,,,,1986,9,26
1986-10-12,,,,,1986,10,12
1986-10-21,,,,,1986,10,21
1986-10-28,0.851,,,,1986,10,28
1986-11-13,4.466,,,,1986,11,13
1986-11-22,,,,,1986,11,22
1986-11-29,-0.554,,,,1986,11,29
1986-12-15,,,,,1986,12,15
1987-01-16,-10.462,,,,1987,1,16
1987-02-01,-10.867,,,,1987,2,1
1987-02-26,-7.112,,,,1987,2,26
1987-03-05,-15.944,,,,1987,3,5
1987-03-14,-9.842,,,,1987,3,14
1987-03-21,,,,,1987,3,21
1987-03-30,,,,,1987,3,30
1987-04-06,,,,,1987,4,6
1987-05-01,9.257,,,,1987,5,1
1987-05-08,,,,,1987,5,8
1987-05-17,,,,,1987,5,17
1987-05-24,,,,,1987,5,24
1987-06-02,,,,,1987,6,2
1987-07-04,19.116,,,,1987,7,4
1987-07-11,20.943,,,,1987,7,11
1987-07-27,,,,,1987,7,27
1987-08-05,,,,,1987,8,5
1987-08-12,,,,,1987,8,12
1987-08-21,17.592,,,,1987,8,21
1987-09-13,17.534,,,,1987,9,13
1987-09-22,,,,,1987,9,22
1987-09-29,,,,,1987,9,29
1987-10-08,,,,,1987,10,8
1987-10-15,,,,,1987,10,15
1987-10-24,,,,,1987,10,24
1987-10-31,4.726,,,,1987,10,31
1987-12-02,,,,,1987,12,2
1988-01-03,,,,,1988,1,3
1988-01-12,-8.34,,,,1988,1,12
1988-01-19,-4.027,,,,1988,1,19
1988-02-20,,,,,1988,2,20
1988-02-29,,,,,1988,2,29
1988-04-24,-0.111,,,,1988,4,24
1988-05-10,,,,,1988,5,10
1988-05-19,,,,,1988,5,19
1988-05-26,,,,,1988,5,26
1988-06-27,,,,,1988,6,27
1988-07-13,,,,,1988,7,13
1988-07-22,,,,,1988,7,22
1988-07-29,18.239,,,,1988,7,29
1988-08-07,21.276,,,,1988,8,7
1988-08-14,23.543,,,,1988,8,14
1988-08-30,11.036,,,,1988,8,30
1988-09-08,13.049,,,,1988,9,8
1988-09-15,,,,,1988,9,15
1988-09-24,,,,,1988,9,24
1988-10-10,,,,,1988,10,10
1988-10-17,15.654,,,,1988,10,17
1988-10-26,1.926,,,,1988,10,26
1988-11-11,0.98,,,,1988,11,11
1988-12-20,,,,,1988,12,20
1989-01-14,-6.288,,,,1989,1,14
1989-01-21,-1.31,,,,1989,1,21
1989-01-30,-6.513,,,,1989,1,30
1989-03-10,,,,,1989,3,10
1989-03-19,,,,,1989,3,19
1989-04-04,,,,,1989,4,4
1989-04-11,11.554,,,,1989,4,11
1989-04-20,,,,,1989,4,20
1989-05-29,,,,,1989,5,29
1989-06-07,,,,,1989,6,7
