system:time_start,LST_C_L5
"Apr 13, 1984",-2.371
"Apr 29, 1984",
"Aug 19, 1984",-5.78
"Sep 4, 1984",18.955
"Sep 20, 1984",13.42
"Sep 29, 1984",
"Oct 22, 1984",4.981
"Oct 31, 1984",11.994
"Nov 7, 1984",12.068
"Dec 9, 1984",
"Jan 19, 1985",
"Feb 11, 1985",-17.605
"Mar 15, 1985",
"Mar 24, 1985",
"Mar 31, 1985",
"Apr 16, 1985",
"May 11, 1985",17.463
"Jun 3, 1985",
"Jun 12, 1985",
"Jun 19, 1985",16.238
"Jul 5, 1985",20.791
"Aug 22, 1985",23.47
"Sep 7, 1985",
"Sep 23, 1985",
"Oct 9, 1985",
"Oct 18, 1985",8.029
"Oct 25, 1985",6.961
"Nov 26, 1985",
"Jan 29, 1986",
"Feb 7, 1986",
"Feb 14, 1986",-11.653
"Mar 2, 1986",
"Mar 18, 1986",-0.041
"Apr 3, 1986",
"Apr 19, 1986",
"Apr 28, 1986",
"May 5, 1986",17.489
"May 14, 1986",
"May 21, 1986",24.205
"Jun 15, 1986",
"Jun 22, 1986",23.34
"Jul 1, 1986",
"Jul 17, 1986",23.702
"Aug 2, 1986",
"Aug 9, 1986",20.81
"Aug 18, 1986",20.681
"Aug 25, 1986",
"Sep 3, 1986",13.916
"Sep 19, 1986",8.768
"Sep 26, 1986",7.663
"Oct 12, 1986",
"Oct 21, 1986",
"Oct 28, 1986",1.547
"Nov 13, 1986",4.712
"Nov 22, 1986",
"Nov 29, 1986",-0.321
"Dec 15, 1986",
"Jan 16, 1987",-11.08
"Feb 1, 1987",-12.927
"Feb 26, 1987",-7.628
"Mar 5, 1987",-16.499
"Mar 14, 1987",-10.08
"Mar 21, 1987",
"Mar 30, 1987",
"Apr 6, 1987",
"May 1, 1987",8.045
"May 8, 1987",
"May 17, 1987",
"May 24, 1987",
"Jun 2, 1987",
"Jul 4, 1987",20.219
"Jul 11, 1987",22.489
"Jul 27, 1987",
"Aug 5, 1987",
"Aug 12, 1987",
"Aug 21, 1987",18.556
"Sep 13, 1987",18.349
"Sep 22, 1987",
"Sep 29, 1987",
"Oct 8, 1987",
"Oct 15, 1987",
"Oct 24, 1987",
"Oct 31, 1987",5.904
"Dec 2, 1987",
"Jan 3, 1988",
"Jan 12, 1988",-8.034
"Jan 19, 1988",-3.612
"Feb 20, 1988",
"Feb 29, 1988",
"Apr 24, 1988",-0.825
"May 10, 1988",
"May 19, 1988",
"May 26, 1988",
"Jun 27, 1988",
"Jul 13, 1988",
"Jul 22, 1988",
"Jul 29, 1988",19.113
"Aug 7, 1988",22.609
"Aug 14, 1988",25.254
"Aug 30, 1988",13.546
"Sep 8, 1988",13.208
"Sep 15, 1988",
"Sep 24, 1988",
"Oct 10, 1988",
"Oct 17, 1988",16.147
"Oct 26, 1988",2.318
"Nov 11, 1988",-0.736
"Dec 20, 1988",
"Jan 14, 1989",-6.973
"Jan 21, 1989",-2.428
"Jan 30, 1989",-8.324
"Mar 10, 1989",
"Mar 19, 1989",
"Apr 4, 1989",
"Apr 11, 1989",14.293
"Apr 20, 1989",
"May 29, 1989",
"Jun 7, 1989",
"Jun 14, 1989",14.702
"Jul 16, 1989",16.916
"Aug 10, 1989",
"Aug 17, 1989",
"Sep 2, 1989",
"Sep 11, 1989",
"Sep 18, 1989",20.239
"Oct 4, 1989",4.872
"Oct 13, 1989",
"Oct 20, 1989",10.624
"Nov 5, 1989",2.959
"Nov 14, 1989",2.021
"Jan 24, 1990",
"Feb 2, 1990",2.88
"Feb 9, 1990",
"Feb 25, 1990",3.925
"Mar 6, 1990",-15.853
"Mar 13, 1990",3.145
"Mar 22, 1990",9.142
