system:time_start,LST_C_L7
"Jul 13, 1999",
"Jul 20, 1999",26.53
"Jul 29, 1999",
"Aug 5, 1999",
"Aug 14, 1999",
"Aug 21, 1999",
"Aug 30, 1999",
"Sep 6, 1999",22.212
"Sep 15, 1999",24.506
"Sep 22, 1999",
"Oct 1, 1999",
"Oct 8, 1999",8.765
"Oct 17, 1999",
"Oct 24, 1999",10.319
"Nov 2, 1999",
"Nov 18, 1999",
"Dec 11, 1999",
"Dec 20, 1999",-12.26
"Jan 12, 2000",-15.179
"Jan 28, 2000",-8.745
"Feb 6, 2000",
"Feb 13, 2000",
"Feb 22, 2000",
"Feb 29, 2000",
"Mar 16, 2000",
"Mar 25, 2000",
"Apr 1, 2000",
"Apr 10, 2000",
"Apr 17, 2000",
"Apr 26, 2000",20.784
"May 3, 2000",14.73
"May 12, 2000",
"May 19, 2000",
"May 28, 2000",21.107
"Jun 4, 2000",27.102
"Jun 13, 2000",28.356
"Jun 20, 2000",29.092
"Jun 29, 2000",
"Jul 6, 2000",
"Jul 22, 2000",
"Jul 31, 2000",
"Aug 7, 2000",
"Aug 16, 2000",
"Aug 23, 2000",
"Sep 1, 2000",
"Sep 17, 2000",
"Sep 24, 2000",16.126
"Oct 19, 2000",
"Nov 11, 2000",4.098
"Nov 20, 2000",
"Nov 27, 2000",
"Dec 6, 2000",
"Dec 13, 2000",
"Dec 22, 2000",-8.059
"Dec 29, 2000",
"Jan 14, 2001",-10.837
"Jan 30, 2001",
"Feb 8, 2001",
"Feb 15, 2001",2.246
"Feb 24, 2001",
"Mar 3, 2001",
"Mar 12, 2001",
"Mar 19, 2001",
"Mar 28, 2001",
"Apr 4, 2001",
"Apr 13, 2001",
"Apr 29, 2001",18.021
"May 15, 2001",
"May 22, 2001",
"May 31, 2001",
"Jun 7, 2001",
"Jun 23, 2001",
"Jul 2, 2001",22.844
"Jul 9, 2001",
"Jul 18, 2001",
"Jul 25, 2001",
"Aug 3, 2001",27.429
"Aug 10, 2001",
"Aug 26, 2001",27.127
"Sep 11, 2001",
"Sep 20, 2001",
"Oct 6, 2001",
"Oct 13, 2001",17.343
"Oct 22, 2001",
"Oct 29, 2001",
"Nov 14, 2001",
"Nov 23, 2001",
"Dec 9, 2001",-10.812
"Dec 16, 2001",
"Jan 10, 2002",
"Jan 17, 2002",
"Feb 2, 2002",
"Feb 11, 2002",
"Feb 18, 2002",
"Feb 27, 2002",
"Mar 6, 2002",1.601
"Mar 15, 2002",1.601
"Mar 31, 2002",
"Apr 7, 2002",
"Apr 16, 2002",
"Apr 23, 2002",
"May 2, 2002",23.808
"May 9, 2002",24.275
"May 18, 2002",
"May 25, 2002",22.958
"Jun 3, 2002",23.93
"Jun 10, 2002",
"Jun 19, 2002",35.17
"Jun 26, 2002",
"Jul 5, 2002",20.95
"Jul 12, 2002",22.127
"Jul 21, 2002",25.629
"Jul 28, 2002",24.377
"Aug 22, 2002",
"Aug 29, 2002",22.331
"Sep 7, 2002",
"Sep 14, 2002",
"Sep 30, 2002",
"Oct 16, 2002",
"Oct 25, 2002",
"Nov 1, 2002",
"Nov 10, 2002",
"Nov 17, 2002",4.312
"Nov 26, 2002",
"Dec 12, 2002",-4.704
"Dec 19, 2002",
"Jan 20, 2003",
"Jan 29, 2003",
"Feb 5, 2003",
"Feb 14, 2003",-8.059
"Feb 21, 2003",-3.396
"Mar 18, 2003",-1.024
"Mar 25, 2003",1.89
"Apr 10, 2003",
"Apr 19, 2003",
"Apr 26, 2003",5.893
"May 5, 2003",29.343
"May 12, 2003",
"May 21, 2003",
"May 28, 2003",
"Jul 15, 2003",25.072
"Sep 17, 2003",21.039
"Sep 26, 2003",18.972
"Oct 28, 2003",
"Nov 13, 2003",
"Nov 29, 2003",
"Dec 15, 2003",
"Dec 22, 2003",
"Jan 23, 2004",
"Feb 17, 2004",
"Mar 27, 2004",
"Apr 28, 2004",
"May 30, 2004",22.529
"Jun 8, 2004",
"Jun 15, 2004",
"Jun 24, 2004",20.636
"Aug 2, 2004",20.921
"Sep 3, 2004",24.024
"Sep 19, 2004",
"Oct 5, 2004",20.531
"Oct 30, 2004",
"Dec 1, 2004",-0.361
"Dec 8, 2004",
"Dec 17, 2004",
"Jan 18, 2005",
"Mar 30, 2005",
"Apr 15, 2005",
"Apr 24, 2005",
"May 1, 2005",
"May 10, 2005",
"May 26, 2005",25.598
"Jun 2, 2005",21.896
"Jun 27, 2005",
"Jul 4, 2005",21.609
"Jul 20, 2005",
"Jul 29, 2005",
"Aug 5, 2005",
"Sep 22, 2005",
"Oct 1, 2005",
"Oct 8, 2005",14.637
"Nov 9, 2005",9.261
"Nov 18, 2005",
"Dec 4, 2005",
"Jan 28, 2006",-7.378
"Feb 6, 2006",-13.707
"Feb 13, 2006",
"May 4, 2006",
"Jun 5, 2006",
"Jun 14, 2006",29.728
"Jun 21, 2006",29.829
"Jul 16, 2006",
"Sep 25, 2006",
"Oct 27, 2006",
"Dec 7, 2006",
"Dec 14, 2006",0.951
"Dec 23, 2006",
"Jan 8, 2007",
"Jan 15, 2007",0.007
"Feb 9, 2007",
"Mar 13, 2007",
"Mar 29, 2007",
"Apr 5, 2007",4.159
"Apr 14, 2007",
"Apr 21, 2007",17.531
"Apr 30, 2007",17.087
"May 23, 2007",
"Jun 8, 2007",27.768
"Jun 24, 2007",
"Jul 19, 2007",
"Jul 26, 2007",25.176
"Oct 14, 2007",
"Dec 17, 2007",
"Dec 26, 2007",-8.627
"Jan 11, 2008",-1.024
"Feb 3, 2008",-8.059
"Feb 12, 2008",-3.72
"Feb 19, 2008",
"Feb 28, 2008",
"Mar 6, 2008",
"Mar 15, 2008",0.297
"Mar 31, 2008",
"May 2, 2008",
"May 9, 2008",
"May 25, 2008",
"Jun 10, 2008",
"Jun 26, 2008",
"Jul 28, 2008",27.026
"Aug 6, 2008",23.649
"Aug 13, 2008",
"Oct 9, 2008",
"Nov 1, 2008",9.716
"Dec 3, 2008",
"Dec 28, 2008",
"Jan 13, 2009",-6.031
"Feb 5, 2009",-1.024
"Mar 18, 2009",
"Mar 25, 2009",-5.792
"Apr 3, 2009",
"Apr 10, 2009",1.89
"Apr 19, 2009",12.981
"Apr 26, 2009",
"Jun 13, 2009",
"Jun 29, 2009",
"Jul 24, 2009",
"Aug 9, 2009",
"Aug 16, 2009",27.021
"Aug 25, 2009",
"Sep 1, 2009",25.839
"Sep 10, 2009",20.275
"Sep 26, 2009",
"Nov 20, 2009",
"Apr 6, 2010",
"Apr 13, 2010",
"Apr 22, 2010",-0.434
"Apr 29, 2010",21.318
"May 24, 2010",
"Jun 9, 2010",
"Jun 25, 2010",
"Jul 11, 2010",
"Jul 27, 2010",
"Sep 20, 2010",15.063
"Oct 22, 2010",0.297
"Mar 8, 2011",-2.106
"Mar 15, 2011",2.566
"Mar 24, 2011",
"Apr 9, 2011",
"Apr 16, 2011",
"Apr 25, 2011",15.245
"May 2, 2011",
"Jun 3, 2011",
"Jun 28, 2011",
"Aug 6, 2011",17.024
"Aug 22, 2011",28.747
"Aug 31, 2011",17.798
"Sep 16, 2011",19.684
"Sep 23, 2011",
"Oct 2, 2011",
"Oct 9, 2011",
"Oct 18, 2011",11.394
"Oct 25, 2011",9.131
"Nov 3, 2011",
"Nov 10, 2011",
"Nov 19, 2011",
"Nov 26, 2011",
"Dec 5, 2011",
"Dec 12, 2011",-6.58
"Dec 28, 2011",
"Feb 14, 2012",
"Mar 17, 2012",2.246
"Mar 26, 2012",
"Apr 2, 2012",-0.361
"Apr 11, 2012",
"Apr 18, 2012",
"Apr 27, 2012",25.429
"May 4, 2012",
"May 13, 2012",
"May 20, 2012",28.149
"May 29, 2012",
"Jun 21, 2012",
"Jun 30, 2012",32.242
"Jul 7, 2012",
"Jul 23, 2012",
"Aug 1, 2012",
"Aug 8, 2012",
"Aug 17, 2012",
"Sep 9, 2012",23.922
"Sep 18, 2012",
"Sep 25, 2012",18.064
"Oct 4, 2012",
"Oct 11, 2012",9.016
"Oct 20, 2012",20.626
"Nov 21, 2012",5.347
"Dec 7, 2012",
"Mar 4, 2013",-1.468
"Mar 20, 2013",
"Mar 29, 2013",
"Apr 14, 2013",
"Apr 21, 2013",
"Apr 30, 2013",
"Jun 8, 2013",
"Jun 17, 2013",30.909
"Jul 3, 2013",
"Jul 10, 2013",
"Jul 19, 2013",
"Jul 26, 2013",
"Aug 4, 2013",
"Aug 11, 2013",
"Sep 5, 2013",23.32
"Sep 21, 2013",
"Sep 28, 2013",14.921
"Oct 7, 2013",10.817
"Oct 14, 2013",8.328
"Oct 23, 2013",
"Nov 8, 2013",
"Nov 15, 2013",
"Dec 1, 2013",
"Dec 10, 2013",-1.556
"Dec 17, 2013",-1.024
"Dec 26, 2013",
"Jan 2, 2014",
"Jan 11, 2014",
"Jan 18, 2014",0.297
"Feb 3, 2014",
"Feb 12, 2014",
"Feb 28, 2014",
"Mar 7, 2014",4.159
"Apr 1, 2014",12.355
"Apr 8, 2014",
"Apr 17, 2014",2.888
"Apr 24, 2014",
"May 10, 2014",
"May 19, 2014",22.463
"May 26, 2014",
"Jun 4, 2014",
