system:time_start,LST_C_L9
"Nov 3, 2021",
"Nov 8, 2021",
"Dec 23, 2021",
"Jan 1, 2022",
"Jan 24, 2022",
"Feb 9, 2022",
"Feb 18, 2022",
"Feb 25, 2022",
"Mar 6, 2022",
"Mar 22, 2022",5.621
"Mar 29, 2022",
"Apr 7, 2022",
"Apr 14, 2022",13.316
"Apr 23, 2022",
"Apr 30, 2022",
"May 9, 2022",
"May 16, 2022",
"Jun 1, 2022",
"Jun 10, 2022",
"Jun 17, 2022",
"Jun 26, 2022",
"Jul 3, 2022",22.501
"Jul 12, 2022",14.129
"Jul 19, 2022",25.816
"Jul 28, 2022",20.058
"Aug 4, 2022",26.44
"Aug 13, 2022",18.859
"Aug 29, 2022",
"Sep 5, 2022",10.901
"Sep 21, 2022",
"Oct 7, 2022",13.623
"Oct 16, 2022",
"Oct 23, 2022",
"Nov 1, 2022",11.591
"Nov 8, 2022",6.624
"Nov 24, 2022",
"Dec 3, 2022",
"Dec 19, 2022",
"Dec 26, 2022",
"Jan 4, 2023",
"Jan 11, 2023",
"Jan 20, 2023",
"Feb 5, 2023",
"Feb 21, 2023",2.885
"Mar 9, 2023",
"Mar 16, 2023",-1.759
"Mar 25, 2023",
"Apr 1, 2023",
"Apr 10, 2023",
"Apr 26, 2023",
"May 3, 2023",
"May 19, 2023",
"May 28, 2023",18.756
"Jun 4, 2023",18.018
"Jun 13, 2023",16.673
"Jun 20, 2023",
"Jun 29, 2023",
"Jul 6, 2023",
"Jul 15, 2023",28.942
"Jul 22, 2023",
"Jul 31, 2023",
"Aug 16, 2023",
"Aug 23, 2023",23.145
"Sep 1, 2023",
"Sep 8, 2023",22.067
"Sep 17, 2023",20.413
"Sep 24, 2023",
"Oct 3, 2023",
"Oct 10, 2023",
"Oct 19, 2023",
"Oct 26, 2023",
"Nov 4, 2023",2.167
"Nov 20, 2023",
"Nov 27, 2023",
"Dec 13, 2023",
"Dec 29, 2023",
"Jan 23, 2024",
"Jan 30, 2024",4.195
"Feb 15, 2024",
"Feb 24, 2024",-0.092
"Mar 2, 2024",
"Mar 11, 2024",5.529
"Mar 18, 2024",
"Mar 27, 2024",
"Apr 3, 2024",
"Apr 12, 2024",
"Apr 19, 2024",
"Apr 28, 2024",
"May 5, 2024",
"May 14, 2024",18.047
"May 21, 2024",
"May 30, 2024",
"Jun 6, 2024",
"Jun 15, 2024",
"Jun 22, 2024",
"Jul 1, 2024",
"Jul 8, 2024",
"Jul 24, 2024",
"Aug 2, 2024",
"Aug 9, 2024",18.235
"Aug 18, 2024",
"Sep 3, 2024",
"Sep 10, 2024",
"Sep 19, 2024",12.904
"Sep 26, 2024",
"Oct 12, 2024",
"Oct 21, 2024",13.63
"Oct 28, 2024",11.789
"Nov 6, 2024",
"Nov 22, 2024",
"Nov 29, 2024",
"Dec 24, 2024",
"Dec 31, 2024",0.74
"Jan 9, 2025",1.183
"Jan 16, 2025",
"Jan 25, 2025",
"Feb 1, 2025",-5.24
"Feb 10, 2025",
"Feb 17, 2025",
"Feb 26, 2025",
"Mar 5, 2025",6.649
"Mar 21, 2025",8.86
"Mar 30, 2025",
"Apr 6, 2025",-0.985
"Apr 15, 2025",
"Apr 22, 2025",
"May 1, 2025",
"May 8, 2025",
"May 17, 2025",
"May 24, 2025",
"Jun 2, 2025",
"Jun 9, 2025",12.401
"Jun 18, 2025",20.454
"Jun 25, 2025",22.98
"Jul 4, 2025",
"Jul 11, 2025",
"Jul 20, 2025",23.233
"Jul 27, 2025",
"Aug 5, 2025",18.537
"Aug 12, 2025",22.471
"Aug 28, 2025",21.398
"Sep 6, 2025",
"Sep 13, 2025",
"Sep 22, 2025",
"Sep 29, 2025",7.779
"Oct 24, 2025",
"Oct 31, 2025",
"Nov 16, 2025",6.373
"Dec 2, 2025",
"Dec 18, 2025",4.372
"Dec 27, 2025",0.151
