system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-04-13,-2.343,,,,1984,4,13
1984-04-29,,,,,1984,4,29
1984-08-19,-6.521,,,,1984,8,19
1984-09-04,19.915,,,,1984,9,4
1984-09-20,14.282,,,,1984,9,20
1984-09-29,,,,,1984,9,29
1984-10-22,,,,,1984,10,22
1984-10-31,12.27,,,,1984,10,31
1984-11-07,12.887,,,,1984,11,7
1984-12-09,,,,,1984,12,9
1985-01-19,,,,,1985,1,19
1985-02-11,-18.123,,,,1985,2,11
1985-03-15,,,,,1985,3,15
1985-03-24,,,,,1985,3,24
1985-03-31,,,,,1985,3,31
1985-04-16,,,,,1985,4,16
1985-05-11,18.957,,,,1985,5,11
1985-06-03,,,,,1985,6,3
1985-06-12,,,,,1985,6,12
1985-06-19,,,,,1985,6,19
1985-07-05,21.467,,,,1985,7,5
1985-08-22,25.066,,,,1985,8,22
1985-09-07,,,,,1985,9,7
1985-09-23,,,,,1985,9,23
1985-10-09,,,,,1985,10,9
1985-10-18,9.068,,,,1985,10,18
1985-10-25,7.023,,,,1985,10,25
1985-11-26,,,,,1985,11,26
1986-01-29,,,,,1986,1,29
1986-02-07,,,,,1986,2,7
1986-02-14,-11.949,,,,1986,2,14
1986-03-02,,,,,1986,3,2
1986-03-18,-1.077,,,,1986,3,18
1986-04-03,,,,,1986,4,3
1986-04-19,,,,,1986,4,19
1986-04-28,,,,,1986,4,28
1986-05-05,19.523,,,,1986,5,5
1986-05-14,,,,,1986,5,14
1986-05-21,25.481,,,,1986,5,21
1986-06-15,,,,,1986,6,15
1986-06-22,24.813,,,,1986,6,22
1986-07-01,,,,,1986,7,1
1986-07-17,25.191,,,,1986,7,17
1986-08-02,,,,,1986,8,2
1986-08-09,22.515,,,,1986,8,9
1986-08-18,22.074,,,,1986,8,18
1986-08-25,,,,,1986,8,25
1986-09-03,15.032,,,,1986,9,3
1986-09-19,10.03,,,,1986,9,19
1986-09-26,9.489,,,,1986,9,26
1986-10-12,,,,,1986,10,12
1986-10-21,,,,,1986,10,21
1986-10-28,2.239,,,,1986,10,28
1986-11-13,4.407,,,,1986,11,13
1986-11-22,,,,,1986,11,22
1986-11-29,-0.057,,,,1986,11,29
1986-12-15,,,,,1986,12,15
1987-01-16,-11.32,,,,1987,1,16
1987-02-01,-15.567,,,,1987,2,1
1987-02-26,-8.234,,,,1987,2,26
1987-03-05,-17.477,,,,1987,3,5
1987-03-14,-10.08,,,,1987,3,14
1987-03-21,,,,,1987,3,21
1987-03-30,,,,,1987,3,30
1987-04-06,,,,,1987,4,6
1987-05-01,,,,,1987,5,1
1987-05-08,,,,,1987,5,8
1987-05-17,,,,,1987,5,17
1987-05-24,,,,,1987,5,24
1987-06-02,,,,,1987,6,2
1987-07-04,21.582,,,,1987,7,4
1987-07-11,23.904,,,,1987,7,11
1987-07-27,,,,,1987,7,27
1987-08-05,,,,,1987,8,5
1987-08-12,,,,,1987,8,12
1987-08-21,19.731,,,,1987,8,21
1987-09-13,18.758,,,,1987,9,13
1987-09-22,,,,,1987,9,22
1987-09-29,,,,,1987,9,29
1987-10-08,,,,,1987,10,8
1987-10-15,,,,,1987,10,15
1987-10-24,,,,,1987,10,24
1987-10-31,6.733,,,,1987,10,31
1987-12-02,,,,,1987,12,2
1988-01-03,,,,,1988,1,3
1988-01-12,-8.234,,,,1988,1,12
1988-01-19,-4.074,,,,1988,1,19
1988-02-20,,,,,1988,2,20
1988-02-29,,,,,1988,2,29
1988-04-24,-1.077,,,,1988,4,24
1988-05-10,,,,,1988,5,10
1988-05-19,,,,,1988,5,19
1988-05-26,,,,,1988,5,26
1988-06-27,,,,,1988,6,27
1988-07-13,,,,,1988,7,13
1988-07-22,,,,,1988,7,22
1988-07-29,19.835,,,,1988,7,29
1988-08-07,24.442,,,,1988,8,7
1988-08-14,26.566,,,,1988,8,14
1988-08-30,14.161,,,,1988,8,30
1988-09-08,13.32,,,,1988,9,8
1988-09-15,,,,,1988,9,15
1988-09-24,,,,,1988,9,24
1988-10-10,,,,,1988,10,10
1988-10-17,17.357,,,,1988,10,17
1988-10-26,3.769,,,,1988,10,26
1988-11-11,-1.349,,,,1988,11,11
1988-12-20,,,,,1988,12,20
1989-01-14,-6.677,,,,1989,1,14
1989-01-21,-3.493,,,,1989,1,21
1989-01-30,-10.073,,,,1989,1,30
1989-03-10,,,,,1989,3,10
1989-03-19,,,,,1989,3,19
1989-04-04,,,,,1989,4,4
1989-04-11,16.116,,,,1989,4,11
1989-04-20,,,,,1989,4,20
1989-05-29,,,,,1989,5,29
1989-06-07,,,,,1989,6,7
1989-06-14,16.45,,,,1989,6,14
1989-07-16,18.685,,,,1989,7,16
1989-08-10,,,,,1989,8,10
1989-08-17,,,,,1989,8,17
1989-09-02,,,,,1989,9,2
1989-09-11,,,,,1989,9,11
1989-09-18,21.034,,,,1989,9,18
1989-10-04,5.832,,,,1989,10,4
1989-10-13,,,,,1989,10,13
1989-10-20,11.514,,,,1989,10,20
1989-11-05,3.907,,,,1989,11,5
1989-11-14,2.605,,,,1989,11,14
1990-01-24,,,,,1990,1,24
1990-02-02,2.133,,,,1990,2,2
1990-02-09,,,,,1990,2,9
1990-02-25,2.9,,,,1990,2,25
1990-03-06,-15.853,,,,1990,3,6
1990-03-13,3.222,,,,1990,3,13
1990-03-22,9.216,,,,1990,3,22
1990-04-14,10.22,,,,1990,4,14
1990-04-30,,,,,1990,4,30
1990-05-09,,,,,1990,5,9
1990-05-16,,,,,1990,5,16
1990-06-01,,,,,1990,6,1
1990-06-17,,,,,1990,6,17
1990-07-03,,,,,1990,7,3
1990-08-04,25.3,,,,1990,8,4
1990-08-13,19.418,,,,1990,8,13
1990-08-20,,,,,1990,8,20
1990-08-29,23.39,,,,1990,8,29
1990-09-05,,,,,1990,9,5
1990-09-14,,,,,1990,9,14
1990-09-21,,,,,1990,9,21
1990-09-30,15.186,,,,1990,9,30
1990-10-07,14.404,,,,1990,10,7
1990-10-16,18.932,,,,1990,10,16
1990-10-23,6.532,,,,1990,10,23
1990-11-24,-2.343,,,,1990,11,24
1991-01-20,-11.32,,,,1991,1,20
1991-03-09,,,,,1991,3,9
1991-03-16,8.577,,,,1991,3,16
1991-04-01,,,,,1991,4,1
