system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-04-15,,,,,1984,4,15
1984-05-17,2.562,,,,1984,5,17
1984-06-18,,,,,1984,6,18
1984-06-25,-5.662,,,,1984,6,25
1984-07-11,27.911,,,,1984,7,11
1984-08-05,20.716,,,,1984,8,5
1984-09-29,,,,,1984,9,29
1984-10-15,,,,,1984,10,15
1984-10-31,12.066,,,,1984,10,31
1984-12-02,,,,,1984,12,2
1985-01-19,-9.432,,,,1985,1,19
1985-01-28,,,,,1985,1,28
1985-03-24,-2.09,,,,1985,3,24
1985-04-18,0.584,,,,1985,4,18
1985-05-11,,,,,1985,5,11
1985-06-05,22.92,,,,1985,6,5
1985-07-07,,,,,1985,7,7
1985-08-24,19.73,,,,1985,8,24
1985-08-31,17.507,,,,1985,8,31
1985-11-12,,,,,1985,11,12
1985-11-28,,,,,1985,11,28
1986-01-15,-26.446,,,,1986,1,15
1986-02-07,-18.885,,,,1986,2,7
1986-02-23,,,,,1986,2,23
1986-03-04,,,,,1986,3,4
1986-03-20,2.844,,,,1986,3,20
1986-04-21,,,,,1986,4,21
1986-04-28,6.637,,,,1986,4,28
1986-05-07,12.254,,,,1986,5,7
1986-05-14,15.016,,,,1986,5,14
1986-05-23,,,,,1986,5,23
1986-06-15,18.808,,,,1986,6,15
1986-06-24,,,,,1986,6,24
1986-07-01,18.373,,,,1986,7,1
1986-07-10,,,,,1986,7,10
1986-07-17,18.537,,,,1986,7,17
1986-08-02,,,,,1986,8,2
1986-08-18,,,,,1986,8,18
1986-09-03,,,,,1986,9,3
1986-09-12,3.176,,,,1986,9,12
1986-09-19,5.234,,,,1986,9,19
1986-09-28,,,,,1986,9,28
1986-10-14,8.782,,,,1986,10,14
1986-10-21,,,,,1986,10,21
1986-10-30,,,,,1986,10,30
1986-11-15,8.319,,,,1986,11,15
1986-12-01,4.669,,,,1986,12,1
1987-01-25,,,,,1987,1,25
1987-02-26,-6.966,,,,1987,2,26
1987-03-14,-9.594,,,,1987,3,14
1987-03-30,,,,,1987,3,30
1987-04-08,,,,,1987,4,8
1987-04-24,4.041,,,,1987,4,24
1987-05-01,,,,,1987,5,1
1987-05-10,,,,,1987,5,10
1987-05-17,,,,,1987,5,17
1987-05-26,,,,,1987,5,26
1987-06-02,,,,,1987,6,2
1987-07-04,,,,,1987,7,4
1987-07-20,15.516,,,,1987,7,20
1987-08-21,,,,,1987,8,21
1987-09-22,,,,,1987,9,22
1987-10-08,,,,,1987,10,8
1987-10-24,,,,,1987,10,24
1988-02-06,,,,,1988,2,6
1988-02-29,,,,,1988,2,29
1988-04-10,-2.917,,,,1988,4,10
1988-04-26,,,,,1988,4,26
1988-05-03,,,,,1988,5,3
