system:time_start,LST_C_L7
"Jul 6, 1999",
"Jul 13, 1999",
"Jul 29, 1999",
"Aug 7, 1999",
"Aug 14, 1999",
"Aug 23, 1999",
"Aug 30, 1999",
"Sep 8, 1999",
"Sep 15, 1999",21.815
"Sep 24, 1999",
"Oct 1, 1999",
"Oct 26, 1999",
"Nov 2, 1999",
"Nov 18, 1999",
"Dec 4, 1999",
"Dec 13, 1999",
"Dec 20, 1999",
"Dec 29, 1999",
"Jan 5, 2000",
"Jan 14, 2000",-14.44
"Jan 30, 2000",
"Feb 22, 2000",-14.433
"Mar 2, 2000",
"Mar 18, 2000",
"Apr 3, 2000",-1.99
"Apr 10, 2000",-6.578
"Apr 19, 2000",-0.969
"Apr 26, 2000",3.781
"May 5, 2000",
"May 12, 2000",
"May 21, 2000",
"May 28, 2000",
"Jun 6, 2000",
"Jun 13, 2000",28.1
"Jun 22, 2000",
"Jul 24, 2000",
"Jul 31, 2000",
"Aug 9, 2000",
"Aug 16, 2000",
"Aug 25, 2000",
"Sep 1, 2000",
"Sep 10, 2000",
"Sep 26, 2000",
"Oct 28, 2000",
"Nov 13, 2000",
"Nov 20, 2000",
"Nov 29, 2000",
"Dec 6, 2000",
"Dec 22, 2000",-15.925
"Jan 16, 2001",-12.79
"Feb 1, 2001",
"Feb 17, 2001",
"Feb 24, 2001",
"Mar 12, 2001",
"Mar 21, 2001",
"Mar 28, 2001",-8.745
"Apr 29, 2001",
"May 8, 2001",
"May 15, 2001",
"May 24, 2001",25.621
"May 31, 2001",
"Jun 9, 2001",
"Jun 25, 2001",
"Jul 2, 2001",
"Jul 11, 2001",
"Jul 18, 2001",19.716
"Jul 27, 2001",14.835
"Aug 3, 2001",
"Aug 12, 2001",
"Aug 19, 2001",23.574
"Sep 4, 2001",
"Sep 20, 2001",
"Sep 29, 2001",
"Oct 6, 2001",12.635
"Oct 15, 2001",12.224
"Oct 31, 2001",
"Nov 7, 2001",
"Dec 2, 2001",
"Dec 9, 2001",-12.886
"Dec 18, 2001",
"Jan 3, 2002",
"Jan 10, 2002",
"Jan 26, 2002",
"Feb 4, 2002",
"Feb 11, 2002",
"Feb 27, 2002",
"Mar 8, 2002",
"Mar 24, 2002",-17.272
"Mar 31, 2002",-0.703
"Apr 9, 2002",-7.723
"Apr 16, 2002",
"Apr 25, 2002",-2.021
"May 2, 2002",-1.021
"May 11, 2002",
"May 18, 2002",
"Jun 3, 2002",
"Jun 12, 2002",
"Jun 19, 2002",
"Jul 5, 2002",
"Jul 14, 2002",
"Jul 21, 2002",20.873
"Jul 30, 2002",
"Aug 6, 2002",
"Aug 15, 2002",12.987
"Aug 22, 2002",
