system:time_start,LST_C_L9
"Feb 18, 2022",
"Feb 27, 2022",
"Mar 6, 2022",
"Mar 22, 2022",3.027
"Apr 7, 2022",
"Apr 16, 2022",
"Apr 23, 2022",3.093
"May 2, 2022",
"May 9, 2022",
"May 18, 2022",
"Jun 3, 2022",
"Jun 10, 2022",13.213
"Jun 19, 2022",28.086
"Jun 26, 2022",22.523
"Jul 12, 2022",
"Jul 21, 2022",29.794
"Jul 28, 2022",
"Aug 13, 2022",
"Aug 29, 2022",15.872
"Sep 7, 2022",
"Sep 23, 2022",
"Sep 30, 2022",2.73
"Oct 9, 2022",
"Oct 16, 2022",
"Oct 25, 2022",
"Nov 1, 2022",
"Nov 10, 2022",
"Jan 4, 2023",
"Jan 20, 2023",-10.346
"Jan 29, 2023",
"Feb 5, 2023",
"Mar 18, 2023",
"Mar 25, 2023",
"Apr 3, 2023",
"Apr 10, 2023",
"Apr 19, 2023",
"Apr 26, 2023",
"May 5, 2023",
"May 12, 2023",
"May 21, 2023",
"May 28, 2023",17.11
"Jun 6, 2023",
"Jun 13, 2023",
"Jun 22, 2023",
"Jun 29, 2023",
"Jul 8, 2023",19.824
"Jul 15, 2023",23.66
"Jul 24, 2023",
"Jul 31, 2023",
"Aug 16, 2023",21.15
"Aug 25, 2023",22.943
"Sep 1, 2023",
"Sep 10, 2023",21.872
"Sep 17, 2023",
"Sep 26, 2023",15.612
"Oct 3, 2023",
"Oct 12, 2023",
"Oct 19, 2023",
"Oct 28, 2023",
"Nov 4, 2023",
"Nov 13, 2023",
"Nov 29, 2023",
"Dec 31, 2023",
"Jan 16, 2024",
"Jan 23, 2024",
"Feb 24, 2024",-1.784
"Mar 11, 2024",
"Mar 20, 2024",
"Mar 27, 2024",
"Apr 5, 2024",
"Apr 12, 2024",
"Apr 28, 2024",
"May 14, 2024",18.342
"May 23, 2024",
"May 30, 2024",
"Jun 8, 2024",18.357
"Jun 15, 2024",
"Jun 24, 2024",
"Jul 1, 2024",
"Jul 10, 2024",27.153
"Jul 17, 2024",
"Jul 26, 2024",20.262
"Aug 11, 2024",
"Aug 18, 2024",
"Aug 27, 2024",
"Sep 3, 2024",21.896
"Sep 19, 2024",11.119
"Sep 28, 2024",
"Oct 14, 2024",
"Oct 21, 2024",
"Nov 6, 2024",
"Dec 1, 2024",-2.06
"Dec 17, 2024",
"Jan 9, 2025",
"Jan 18, 2025",4.407
"Feb 3, 2025",
"Feb 10, 2025",
"Feb 19, 2025",
"Feb 26, 2025",
"Mar 7, 2025",
"Mar 30, 2025",
"Apr 8, 2025",
"Apr 24, 2025",
"May 1, 2025",
"May 10, 2025",
"May 17, 2025",
"Jun 11, 2025",
"Jun 18, 2025",
"Jun 27, 2025",
"Jul 4, 2025",
"Jul 13, 2025",
"Jul 20, 2025",
"Jul 29, 2025",
"Aug 5, 2025",
"Aug 14, 2025",26.183
"Aug 21, 2025",
"Aug 30, 2025",
"Sep 6, 2025",
"Sep 15, 2025",
"Nov 18, 2025",
"Dec 11, 2025",
"Dec 20, 2025",
"Dec 27, 2025",2.618
