system:time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
1984-04-15,,,,,1984,4,15
1984-05-17,,,,,1984,5,17
1984-06-18,,,,,1984,6,18
1984-06-25,-4.951,,,,1984,6,25
1984-07-11,31.898,,,,1984,7,11
1984-08-05,25.113,,,,1984,8,5
1984-09-29,,,,,1984,9,29
1984-10-15,,,,,1984,10,15
1984-10-31,11.938,,,,1984,10,31
1984-12-02,,,,,1984,12,2
1985-01-19,-15.821,,,,1985,1,19
1985-01-28,,,,,1985,1,28
1985-03-24,-4.201,,,,1985,3,24
1985-04-18,-0.906,,,,1985,4,18
1985-05-11,,,,,1985,5,11
1985-06-05,27.104,,,,1985,6,5
1985-07-07,,,,,1985,7,7
1985-08-24,21.78,,,,1985,8,24
1985-08-31,22.721,,,,1985,8,31
1985-11-12,,,,,1985,11,12
1985-11-28,-12.583,,,,1985,11,28
1986-01-15,-28.599,,,,1986,1,15
1986-02-07,,,,,1986,2,7
1986-02-23,,,,,1986,2,23
1986-03-04,,,,,1986,3,4
1986-03-20,-1.206,,,,1986,3,20
1986-04-21,,,,,1986,4,21
1986-04-28,-0.504,,,,1986,4,28
1986-05-07,16.266,,,,1986,5,7
1986-05-14,18.992,,,,1986,5,14
1986-05-23,21.905,,,,1986,5,23
1986-06-15,23.901,,,,1986,6,15
1986-06-24,,,,,1986,6,24
1986-07-01,26.964,,,,1986,7,1
1986-07-10,,,,,1986,7,10
1986-07-17,,,,,1986,7,17
1986-08-02,,,,,1986,8,2
1986-08-18,,,,,1986,8,18
1986-09-03,,,,,1986,9,3
1986-09-12,,,,,1986,9,12
1986-09-19,10.468,,,,1986,9,19
1986-09-28,,,,,1986,9,28
1986-10-14,10.141,,,,1986,10,14
1986-10-21,,,,,1986,10,21
1986-10-30,,,,,1986,10,30
1986-11-15,4.68,,,,1986,11,15
1986-12-01,-1.206,,,,1986,12,1
1987-01-25,,,,,1987,1,25
1987-02-26,-12.583,,,,1987,2,26
1987-03-14,-12.476,,,,1987,3,14
1987-03-30,,,,,1987,3,30
1987-04-08,,,,,1987,4,8
1987-04-24,-0.003,,,,1987,4,24
1987-05-01,,,,,1987,5,1
1987-05-10,-2.985,,,,1987,5,10
1987-05-17,,,,,1987,5,17
1987-05-26,,,,,1987,5,26
1987-06-02,,,,,1987,6,2
1987-07-04,,,,,1987,7,4
1987-07-20,,,,,1987,7,20
1987-08-21,,,,,1987,8,21
1987-09-22,,,,,1987,9,22
1987-10-08,,,,,1987,10,8
1987-10-24,,,,,1987,10,24
1988-02-06,,,,,1988,2,6
1988-02-29,,,,,1988,2,29
1988-04-10,-5.835,,,,1988,4,10
1988-04-26,,,,,1988,4,26
1988-05-03,,,,,1988,5,3
1988-05-12,,,,,1988,5,12
1988-05-28,,,,,1988,5,28
1988-06-29,,,,,1988,6,29
1988-07-06,,,,,1988,7,6
1988-07-22,,,,,1988,7,22
1988-07-31,,,,,1988,7,31
1988-08-07,,,,,1988,8,7
1988-08-16,,,,,1988,8,16
1988-09-01,13.236,,,,1988,9,1
1988-09-08,12.147,,,,1988,9,8
1988-09-24,,,,,1988,9,24
1988-10-03,12.685,,,,1988,10,3
1988-10-19,,,,,1988,10,19
1988-10-26,-3.681,,,,1988,10,26
1988-11-04,-11.949,,,,1988,11,4
1988-11-11,-3.722,,,,1988,11,11
1989-01-30,-9.782,,,,1989,1,30
1989-03-19,-5.244,,,,1989,3,19
1989-03-28,-4.074,,,,1989,3,28
1989-04-13,-3.072,,,,1989,4,13
1989-05-15,10.71,,,,1989,5,15
1989-06-07,,,,,1989,6,7
1989-06-23,,,,,1989,6,23
1989-07-25,,,,,1989,7,25
1989-08-10,,,,,1989,8,10
1989-08-19,,,,,1989,8,19
1989-08-26,,,,,1989,8,26
1989-09-11,,,,,1989,9,11
1989-09-20,,,,,1989,9,20
1989-10-06,,,,,1989,10,6
1989-10-13,,,,,1989,10,13
1989-10-22,12.822,,,,1989,10,22
1989-11-14,1.776,,,,1989,11,14
1990-02-02,,,,,1990,2,2
1990-02-18,,,,,1990,2,18
1990-03-06,,,,,1990,3,6
1990-03-15,,,,,1990,3,15
1990-03-22,,,,,1990,3,22
1990-03-31,0.77,,,,1990,3,31
1990-04-16,,,,,1990,4,16
1990-05-02,11.912,,,,1990,5,2
1990-05-09,,,,,1990,5,9
1990-06-10,,,,,1990,6,10
1990-07-05,,,,,1990,7,5
1990-07-12,22.506,,,,1990,7,12
1990-07-21,16.294,,,,1990,7,21
1990-07-28,26.478,,,,1990,7,28
1990-08-06,,,,,1990,8,6
1990-08-13,24.715,,,,1990,8,13
1990-08-29,22.367,,,,1990,8,29
1990-09-23,,,,,1990,9,23
1990-09-30,,,,,1990,9,30
1990-10-09,3.725,,,,1990,10,9
1990-10-16,17.39,,,,1990,10,16
1990-10-25,5.648,,,,1990,10,25
1991-01-20,-17.466,,,,1991,1,20
1991-03-18,-1.186,,,,1991,3,18
1991-04-03,,,,,1991,4,3
1991-04-10,,,,,1991,4,10
1991-05-05,,,,,1991,5,5
1991-05-28,,,,,1991,5,28
1991-06-13,,,,,1991,6,13
1991-07-08,29.258,,,,1991,7,8
1991-07-15,,,,,1991,7,15
1991-07-24,21.063,,,,1991,7,24
1991-07-31,,,,,1991,7,31
1991-08-16,19.925,,,,1991,8,16
1991-09-01,17.692,,,,1991,9,1
1991-09-10,14.919,,,,1991,9,10
